Protein IDs	Reporter intensity 1 PNNL SC Chip 1 C	Reporter intensity 2 PNNL SC Chip 1 C	Reporter intensity 3 PNNL SC Chip 1 C	Reporter intensity 4 PNNL SC Chip 1 C	Reporter intensity 5 PNNL SC Chip 1 C	Reporter intensity 6 PNNL SC Chip 1 C	Reporter intensity 7 PNNL SC Chip 1 C	Reporter intensity 8 PNNL SC Chip 1 C	Reporter intensity 9 PNNL SC Chip 1 C	Reporter intensity 10 PNNL SC Chip 1 C
A6NHQ2	0	364.9	815.83	420.68	0	315.9	978.51	1134.8	0	39155
P62308;A8MWD9	1716.6	2430.7	9088.3	2198	3122.4	3105.6	2119.7	2676	0	87423
Q99613;B5ME19	2953.9	5299.6	4219.5	6111.1	7454.2	5536.5	3695	7940.4	0	243180
C9JRZ8	1200.9	956.3	2045.4	793.69	605.79	484.18	314.5	1384.3	0	21729
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;P39748;P0C0L5;P0C0L4	8146.8	28912	11395	9629.5	14304	16162	13902	18230	0	575910
CON__ENSEMBL:ENSBTAP00000016046;P23142	0	295.57	0	0	1148.6	1129.1	0	891.6	0	27723
CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742	40697	96979	53403	41597	60384	80246	51190	83236	524.55	2592400
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__Q61726;CON__P78386;A6NCN2;P78386	0	0	0	0	0	0	0	0	0	0
CON__P00761;Q9BYE2	275220	276990	302830	278750	312460	341940	387370	84132	10934	2199200
CON__P01966;P69905	0	0	0	0	0	0	0	0	0	0
CON__P02533;P02533;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2;Q04695	5413.6	60174	24964	12981	18392	143600	4788.6	8768.2	0	160600
CON__P02584	9008.9	8336.2	4821.1	4579.1	3635.1	5224.1	4452.2	16565	363.19	425280
CON__P02768-1;P02768;Q92985	0	0	0	0	0	0	0	0	0	0
CON__P02769	68770	97769	187000	189090	140690	177840	30572	39255	0	983370
CON__P04258	4898.9	11653	10925	7499.5	8276.8	8148	9092.7	8082.4	609.07	329770
CON__P06868	0	0	0	0	0	0	0	0	0	0
CON__P07477;P07477	679.2	512.1	617.69	574.15	383.97	708.41	964.17	1897.5	0	88969
CON__P12763;P02765	32817	48401	84467	82657	64615	82357	18804	12781	454.37	374810
P13645;CON__P13645;CON__P02535-1;CON__P08730-1;Q7Z3Y7;Q2M2I5;CON__Q2M2I5;CON__Q7Z3Y7;CON__Q7Z3Y8;CON__Q148H6;CON__P05784;Q7Z3Y8;CON__Q7Z3Z0;CON__O76015;P05783;O76013;CON__O76013;CON__Q9Z2K1;CON__O76014;CON__Q3ZAW8;O76015;Q7Z3Z0;O76014;CON__A2AB72	60611	957910	1065400	192160	1946400	4668500	60558	224070	4034.1	1119700
CON__P13647;P13647	5499.2	140140	59225	15482	48959	285500	8990.6	14986	0	239480
CON__P15497	594.61	652.05	667.06	980.41	742.38	1241.3	664.79	403.08	0	22673
CON__P15636	1226	3099.6	2342.8	2034.8	4404.9	4631	5041.9	21181	0	665590
CON__P34955	15026	22231	41258	41158	27455	34704	7091.1	10072	0	304230
CON__P35908	0	3277.8	1231.7	527.8	1339.2	12849	0	1123	0	1849.4
CON__P35908v2;P35908	44663	1530900	993730	260850	913770	6063700	68869	260050	1069.3	1217700
CON__P62894;P99999	1115.9	882.6	992.43	931.55	1501.7	991.41	1082	2363.8	0	89424
CON__Q29443;CON__Q0IIK2	0	930.7	1302.3	1959.9	1209.2	1456	465.18	541.34	0	18424
CON__Q14525;CON__Q9UE12;CON__Q15323;Q14525;Q15323;CON__Q6NTB9;CON__O76009;CON__Q497I4;O76009;CON__Q9D646;CON__A2A5Y0;CON__Q92764;CON__Q14532;CON__REFSEQ:XP_986630;Q14532;Q92764	0	0	0	0	0	0	0	0	0	0
CON__Q3SX09;P68871;P02042	2609.9	3415.7	4319.1	3078.8	4048.8	4612.7	3228.6	3510.9	0	91088
CON__Q3SX14;P06396	4561.7	7263.4	6288.7	6842.5	6661.2	7449.5	6279.3	7224.7	0	273310
CON__Q3SZV7	922.33	2446.9	2186.9	1256	3330.5	4313	2242.7	3804.6	0	106740
CON__Q3ZBD7	6230	8552.4	5885.3	7553.5	5589.8	7352	6710.2	18212	0	488670
CON__Q3ZBS7	1540.3	2203.8	2102.3	2327	1761.2	2604.5	1833.4	3375.5	0	109610
CON__Q5D862;Q5D862	1903.1	13912	43776	4642.3	104540	64970	6484.5	2408.3	0	32473
CON__Q86YZ3;Q86YZ3	0	0	668.86	0	340.1	10020	0	753.36	0	5326.1
E9PAV3;Q13765;Q9BZK3	1427.5	2409.6	2049.4	1989.1	1507.5	1976.9	1631.4	4106.7	0	118090
G2XKQ0;P63165	0	1696.1	1118.5	753.99	1144.8	1344.7	1190.4	2778.2	0	72844
O00148	3514.2	5274.8	5203	7631.1	8870.1	5908.1	3373.3	4285	0	109540
O00151	0	0	0	0	0	0	0	0	0	0
O00159;Q9UBC5	3875.2	4690.2	3735	2927.6	3713.2	4371.4	3674.4	5098.5	0	200680
O00231	772.91	9739.9	1202.5	1150.8	4452.5	1182.7	1700.2	1767.3	0	47878
O00232	576.77	1189.5	954.12	961.25	1931.4	670.53	652.12	502.97	0	8530.4
O00264	2536.8	5280.7	4099.4	3218	2976.8	3535.4	2588.3	4233.6	0	97122
O00299	5655.8	8529.3	6549.5	6005.4	5529.8	8296.9	5432.8	11860	0	340280
O00303	2237.6	4604.9	4272.8	2865.7	6135.7	4378.7	4189.4	3523.9	0	127510
O00330	0	0	0	0	0	0	0	0	0	0
O00410	0	0	0	0	0	0	0	0	0	0
O00425	0	0	0	0	0	0	0	0	0	0
O00469	250.86	649.59	513.02	407.29	831.93	581.32	4483.5	669.21	0	25295
O00483	2945.5	3668.2	2332	2653.6	780.49	2926.6	3397.7	7075.6	0	266550
O00487	1307.3	2013.3	2140.8	2120.7	3846.4	1260.4	1202.1	2114.2	0	64751
O00499	314.14	352.86	336.59	0	454.85	606.9	397.98	516.87	0	14162
O00534	0	0	0	0	0	0	0	0	0	0
O00567	350.35	975.33	788.81	3534.2	717.68	1533.1	711.51	2240.9	0	70849
O00571;O15523	2727.6	5670.1	5257	5176.8	7435	9477.6	4489.6	6543.4	0	184200
O00629;O00505	1682.9	4121.1	2628.7	2785.5	2536	2580.2	3168	6545.7	0	147000
O14497	1973.8	2031.4	1327.7	928.6	1606.7	1150.1	892.36	2982.6	0	108230
P47813;O14602	4508.4	8314.6	8168.1	3778.8	10283	9364.3	5624.5	11455	401.23	377570
O14737	0	0	0	0	0	0	0	0	0	0
O14745	768.82	1012.1	446.24	0	527.6	1884.1	1117.2	1644.8	0	60000
O14776	0	0	0	0	0	0	0	0	0	0
O14818;Q8TAA3	4153.7	10155	4204	6169.4	5943.1	5937.6	5015.7	11357	0	377650
P19105;O14950;P24844	7079.6	8776.9	3786.7	3109.8	3126.3	7274.7	5078.1	10892	0	352270
O14979	628.08	827.72	691.81	1297.1	2096.2	1012.7	812.95	1443.7	0	44595
O14980	1183.3	2175.2	2203.2	1783.7	2441	2679.1	2530.1	5457.9	0	155730
O15031	0	0	0	0	0	0	0	0	0	0
O15143	2529.3	2978.4	2890.7	3331.2	2105	2972	2629.8	2196.5	0	101580
O15144	4457.6	12081	6443.8	7764.6	31613	12310	5520.6	11679	0	358750
O15145	761.8	1703.5	752.53	1567.8	1337.4	1084.9	566.3	1023.2	0	20623
O15212	621.36	682.25	718	597.95	463.48	612.32	461.46	1408	0	34644
O15258	817.59	3863.8	796.05	2138.1	2756.4	477.24	1480.8	3516.8	0	66200
O15371	0	0	0	0	0	0	0	0	0	0
O15372	1621.1	4492.7	3894.6	2406.3	5726.7	6248.4	2557.6	4295.4	0	161760
O15400	0	0	0	0	0	0	0	0	0	0
O15460	570.84	898.83	768.31	451.99	803.32	411.37	805.28	2129.5	0	60456
O15511	0	0	0	0	0	655.63	348.13	0	0	6144.6
O43143	3172.1	11906	5182.8	12756	378210	7973.3	4664.1	6384.6	0	177320
O43175	8607.1	11199	6862.9	5569.4	6833.9	6348.6	4096.7	9675.6	0	296640
O43242	0	0	0	0	0	0	0	0	0	0
O43390	536.83	584.28	592.22	420.01	622.17	893.92	616.91	901.96	0	23881
O43396	0	821.06	534.34	631.68	362.33	857.06	295.24	860.35	0	34544
O43399	1533.2	3314.7	3291.6	2323.1	2620.2	7845.7	4701.3	3159.1	286.11	93909
O43402	0	0	0	0	0	0	0	0	0	0
O43491;Q9Y2J2	438.6	679.34	535.59	253.62	1831.3	8807.8	847.5	1657.8	0	41253
O43615	0	0	0	0	0	0	0	0	0	0
O43681	0	0	0	0	0	0	0	0	0	0
O43684	372.78	1087.4	784.95	551.81	541.32	1177.9	351.2	1189.6	0	32041
O43707;Q9H254	16904	23066	24884	21790	28102	42471	27966	47541	1264.8	1475700
O43747	0	0	0	0	0	0	0	0	0	0
O43776	2717.2	5645.2	4561.8	3980.9	4619.6	6465.3	3583.7	5972.4	363.97	156050
O43837	1124.2	1503.9	1421.6	1085.1	1446.6	1701.8	1678.6	3091	0	115780
O43852	5855.9	8459.6	10639	6161.1	17160	20504	5388.2	12033	0	346940
O60216	0	0	0	0	0	0	0	0	0	0
O60220	0	0	0	0	0	0	0	0	0	0
O60493;Q9UMY4	968.48	1738.4	1223.2	749.18	839.87	1874.5	2332.5	3244.3	0	110510
O60506	9108.3	9995.2	8635.5	7608.7	9342.1	12329	6807	11718	302.81	341160
O60568	461.25	718.13	684.08	439.99	586.17	709.23	682.39	1951.7	0	41743
O60613	786.41	1273.9	1189.1	1155.6	1350.6	898.42	386.41	1596.8	0	32759
Q9HAW9;Q9HAW8;Q9HAW7;O60656;P19224;P22309;P35504;P35503;P22310	0	0	0	0	0	0	0	0	0	0
O60716	2176.4	3641.5	5519.7	2246.7	7353.1	10255	3181.9	2299.9	0	65740
O60749;Q13596	679.61	787.37	1193.2	651.63	1538.9	2150.8	797.1	670.65	0	30967
O60763	0	0	0	0	0	0	0	0	0	0
Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;O60814;P57053;Q16778;P33778;P23527;P06899;Q6DRA6;Q6DN03	10178	15579	18023	10850	10837	11607	3097.9	3542.1	0	157520
O60831	766.94	1645.1	1185.7	1461.8	2253.5	1825.4	1285.1	1938	0	78409
O75083	3038	3982.5	4127.9	3495.8	2868.7	5285.3	5137.2	6080.8	0	215860
O75131;Q96FN4;Q8IYJ1;Q96A23;O95741;Q86YQ8;Q9HCH3;Q9UBL6	0	0	0	0	0	0	0	0	0	0
O75340	1223.7	2037.5	1215.8	1949	1479.7	1951.9	859.67	2170.1	0	44539
O75347	0	503.25	472.85	384.05	482.46	906.11	944.73	844.28	0	30048
O75348;O95670	292.66	612.15	829.81	334.87	760.76	1369	612.28	997.42	0	35085
O75367	385.04	1123.2	2435.6	1056.5	2701.5	5747.4	857.44	1470.3	0	44339
O75368	505.31	789.08	1034.7	1322.5	1069.9	938.99	1157.8	2218.4	0	81429
O75369	11022	21899	22535	20263	19621	19446	19882	23557	0	688620
O75390	4916.7	4429.6	3284	5171.9	3840.2	5048.4	5619.2	16340	0	464020
O75396	0	0	0	0	0	0	0	0	0	0
O75400;Q6NWY9	826.21	1825	3268.6	1461	5865.2	8577.8	2442.7	2942.1	0	87808
O75439	1079.1	3058.8	2524.3	2618.9	2305.6	1546.6	826.33	1847.4	0	41633
O75475	626.74	931.7	1367.5	791.31	1399.5	2412.2	1252.8	1899.9	0	68977
O94905;O75477	642.13	1818	1414.3	1297.6	1023.6	1449.3	892.13	2962.1	0	104890
O75489	866.35	1936	1958.9	2926.2	2219.1	1663.3	346.77	0	0	15592
O75531	977.87	1724.8	1095.6	781.74	1270	1336.2	1671.5	5236.2	0	162370
O75533	250.58	0	0	0	0	0	365.18	0	0	2059.3
O75534	1589.8	1833.9	1960.8	2509	5106.9	3118	3646	2142.8	0	57077
O75643	0	0	0	0	0	0	0	0	0	0
O75746;Q9UJS0	2506.6	4689.1	3778.2	3633.2	3494.5	4931.3	3984.8	5015.7	0	173080
P54855;O75795	0	0	0	0	0	0	0	0	0	0
O75821	0	0	0	0	0	0	0	0	0	0
O75822	0	0	0	0	0	0	0	0	0	0
O75874	0	0	0	0	0	0	0	0	0	0
Q13177;Q13153;O75914	379.51	950.56	582.19	738.84	625.32	841.74	948.25	1581.6	0	53242
O75915	1905.6	3931.9	3627	2962.4	2068	2826.3	4782.8	4258.4	371.37	128880
O75937	1122.6	1047.8	1218.4	1120.9	1177.4	1142.8	1721.2	2119	0	72777
O75947	0	0	0	0	0	0	0	0	0	0
O76003	283.92	775.6	1117.7	1327	1298.8	746.83	727.66	789.23	0	27079
O76094	0	0	0	0	0	0	0	0	0	0
O94826	0	831.83	630.03	314.02	675.33	1509.1	1018.7	1236.2	0	42257
O94925	839.2	1076.8	868.08	1221.5	1267	845.99	777.26	1014.9	0	42829
O94973;O95782	2855.2	3319	2178.4	2106.1	2937.3	3185.6	2585.1	4571.5	0	171850
O94979	410.21	0	656.54	0	598.74	361.34	611.35	700.23	0	22445
O95182	0	0	0	0	0	0	0	0	0	0
O95232	0	0	0	0	0	0	0	0	0	0
O95292	0	0	0	0	0	0	0	0	0	0
O95302	0	0	0	0	0	0	0	0	0	0
O95399	1959.9	1903.2	2228.9	1384	1886.6	2183	3062.4	5039.1	0	199010
O95433	0	0	0	0	0	0	0	0	0	0
O95777	0	0	0	0	0	0	0	0	0	0
O95831	687.52	884.27	320.57	459.01	541.7	758.38	923.43	660.35	0	28052
O95837;P50148;P29992	731.01	1211.9	1643.3	1040.5	1269.9	2467.3	1770.8	1696.3	0	29025
O95881	0	321.77	0	0	438.37	472.52	0	941.34	0	33021
O96000	1239.8	1830.2	1140	1467.6	1990.9	3181.1	1469.9	3125.9	0	79279
P00167	2130.9	2349.5	2398.1	2476.5	1748.1	2106.2	1463.4	6661.3	0	176890
P00338;P07195;Q6ZMR3;P07864;Q9BYZ2	6551.1	8559.5	8398.9	10969	8158.8	18234	10690	16713	0	670930
P00367;P49448	2757.9	4699.9	3126.5	4760.4	3896	4338.3	4491.3	8885.4	0	280200
P00387	0	442.9	495.45	369.72	347.11	507.72	0	1679.2	0	48884
P00395	0	0	0	0	0	0	0	0	0	0
P00441	0	0	0	0	0	0	0	0	0	0
P00492	303.76	778.33	871.54	499.5	549.91	520.18	0	507.74	0	17012
P00505	14812	20886	14060	18971	18896	16975	19487	26956	1070	1032700
P00558;P07205	13091	19434	13923	20053	16050	19018	19344	41300	1186.1	1216500
P01116;P01112;P01111	0	0	0	0	0	0	0	0	0	0
P01130	768.85	250.66	0	476.96	0	621.54	368.59	686.13	0	18395
P0DOX7;P01834	0	0	0	0	0	0	0	0	0	0
P01876	0	0	0	0	0	0	0	0	0	0
P02452;CON__Q862S4;P02458	21480	38478	23526	21705	28157	34132	25016	35835	1008.9	1225800
P02461	549.36	726.74	820.14	549.14	919.14	1254.8	549.12	1522.7	0	43299
P02462;P29400	409.92	272.68	791.72	0	466.05	482.58	298.33	786.7	0	12572
P02545;REV__Q5VX52	41351	58553	68684	69523	46850	66579	58391	95083	1302.5	3224200
P02647	0	0	0	0	0	0	0	0	0	0
P02751	20134	34307	31582	23037	28566	38224	45463	101970	1270.3	3663200
P02786	0	0	0	0	0	0	0	0	0	0
P04040	745.21	1699.8	2559	2310.8	3160.8	3819.1	1130.4	1966.9	0	76398
P04075;P05062	16872	25356	34375	30353	27464	28161	21805	46376	441.56	1536300
P04083	16125	15651	8412.2	9763.2	7841.5	9334.6	11405	29856	876.31	917620
P04179	2659.4	4272	4241.9	3824.6	5775.9	6127.3	4809	13895	0	365970
P04181	8446.7	11273	10591	9136.1	8854.1	9878.4	7993.8	9307	0	460280
P04264;CON__P04264;CON__H-INV:HIT000016045	80439	645220	2135900	248250	4324100	6640000	61889	283940	4678.7	1025700
P04406	0	0	0	0	0	0	0	0	0	0
