Protein IDs	Reporter intensity 1 PNNL SC Chip 1 C	Reporter intensity 2 PNNL SC Chip 1 C	Reporter intensity 3 PNNL SC Chip 1 C	Reporter intensity 4 PNNL SC Chip 1 C	Reporter intensity 5 PNNL SC Chip 1 C	Reporter intensity 6 PNNL SC Chip 1 C	Reporter intensity 7 PNNL SC Chip 1 C	Reporter intensity 8 PNNL SC Chip 1 C	Reporter intensity 9 PNNL SC Chip 1 C	Reporter intensity 10 PNNL SC Chip 1 C
P04632	359.97	749.81	919.42	0	658.79	938.09	1607.2	2253.6	0	65045
P04839;Q9Y5S8	0	0	0	0	0	0	0	0	0	0
P04843	36090	42577	25571	31403	18293	27866	9112.3	24924	772.27	418490
P04844	1419.3	3728.2	2049.8	4101.9	2312.2	2227.4	1533.3	2379.4	300.56	121290
P04899;P63096;P08754;P09471	5764.8	9498.5	10669	11772	11121	12268	15193	13609	1622	439650
P05023;Q13733;P20648;P54707	10979	17130	17997	20590	28510	24260	19370	34118	928.98	1198600
P05067	0	0	0	0	0	0	0	0	0	0
P05091;O94788;P47895;P30837	11319	34022	10630	30744	11962	14309	13540	22643	0	836060
P05141;Q9H0C2	28066	39191	29493	30005	21173	26835	46272	66997	3784.3	2527600
P05198	4491.9	7273.4	7446.9	5196	7414.8	9266.5	7544.9	14051	0	445410
P05387	1593.6	3365.6	3024.3	2222.9	1689.9	3093	3521.1	6282.4	0	213310
P05388;Q8NHW5	13349	23028	15297	13468	11367	16130	18457	40468	1031.7	1561500
P05455	4046.2	5887	4369.2	5872.1	4201.8	4629.3	4257.5	6072.5	0	254840
P05556	0	789.24	1496.2	473.68	770.59	1181.6	1597.3	698.96	0	30662
P06454	6004.8	17044	10474	9612	8688.1	9868.8	3825.1	3612.5	0	105020
P06576	15783	40020	31838	23847	39633	69742	35864	56308	1012.3	1882600
P06702	0	0	0	0	0	0	0	0	0	0
P06703	8479.6	10281	3530.1	3551.6	4599.9	7998.3	3926.5	7716.4	382.51	375520
P06730	2981.5	3285.1	3037	3068	4725.3	3109.2	3648.1	4480.6	485.27	189980
P06733	17185	25280	33323	35982	23569	32888	29829	55616	819.32	2297800
P06748	14111	22412	12496	12764	7182.5	12571	21147	45454	1109.1	2006600
P06753	7129.1	9425	8716	7877.6	6001.7	8597.3	7319.6	13021	0	420450
P06858	856.74	1988.4	2113.8	2552	2175.9	2010.4	1963.3	3981.9	0	99825
P06865	2471.4	2068.3	2905.2	1259.3	2510.4	2614.7	2078.3	4736.4	0	141010
P07237	41029	55293	96208	34801	44550	43770	60945	145490	3928	5248800
P07305	623.64	870.42	862.48	827.04	1331.1	1206.4	1067.7	1038.3	0	44590
P07355;A6NMY6	18441	27045	24921	19017	21256	34043	24850	46369	0	1475100
P07437;Q9BVA1;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	48532	70273	42630	50767	34566	72166	36290	96647	2163.6	1814700
P07602	2314.1	1877.6	1356.9	1971.1	1627.4	2171.2	3329.3	7523.7	0	228110
P07737	6206.7	6896.2	4881.8	3719.9	6241.6	6098	7344.7	18218	0	541030
P07741	870.48	11019	2517.5	2243.8	2327.4	1247.8	1137	2368.2	0	81366
P07814	2357.3	3457	3461.4	2455.7	3911.6	3170.2	3459.7	6091.9	0	193800
P07900;Q14568;Q58FG0;Q58FG1	12519	16687	24455	13701	16842	18723	12303	22978	0	816430
P07910;P0DMR1;O60812;B7ZW38;B2RXH8	863.06	2156.6	1450.4	1159.8	2447.7	3430.6	1392	2812.5	0	97589
P07954	1892.3	2860.8	3246.3	4051.2	3564.7	3610.1	3608.8	3514.3	484.43	104680
P07996;P35442	5808.9	12338	9981.6	7780.3	16118	28664	12282	23334	355.13	777410
P08133	13769	20022	11330	10768	12563	20909	13159	22672	0	776040
P08134;P61586;P62745	2547.8	3284.3	1795	1810.4	1775.1	2763.9	3130.5	5708.6	0	229760
P08238;Q58FF7;Q92538	64674	90490	49038	47643	52544	56914	40676	94059	300.36	3132400
P08559	998.73	1113.8	1311.2	1146.6	1208.3	1065.4	1752.8	2290.2	0	80784
P08574	2752.3	3465.1	3152.4	2779.7	3529.5	1686.7	2180.7	5439.1	450.5	174350
P08579	685.95	2395.2	1596.6	2021.9	1642.9	2607.4	2572.1	4948.6	0	207390
P08621	2248.1	3217.3	3632.8	2350	4183.4	7118.3	3113.9	4770.1	0	192460
P08670;P17661;P14136;P41219;Q16352;P07196;P07197	146900	160270	79595	77723	58975	115010	89152	174180	6456	6790000
P08708	5402.7	9697.3	6519.1	5770.2	4268.4	5280.4	4041.4	18220	583.18	421560
P08758	12310	16133	16075	24129	16841	18240	16377	32950	1104.1	1334700
P08865;REV__Q2TAZ0	15695	28618	27781	20339	17939	21752	23308	27000	767.77	1191500
P09104	720.6	1597.6	2012.3	1617.1	1199.2	2106.3	3109.9	4358.7	0	190580
P09110	518.3	1080.1	1014	1131.2	611.96	2477.6	371.45	1057.6	0	31660
P09234	447.02	1105.1	814.03	942.64	1705.5	2069	1099.2	1158.5	0	45420
P09382	5347.6	5194.4	2003	2791.7	3129.2	3844.4	5673.7	12799	0	477610
P09417	0	0	0	0	0	0	0	0	0	0
P09429;P26583;B2RPK0;P23497	6254.8	19432	17561	10614	42783	55695	10889	18725	0	525680
P09486	2115.8	2456.7	2978.5	1635.9	3207.9	2745.4	2079.9	4645.8	0	123060
P09493	32836	61634	29443	19978	34246	26682	29633	56335	1860.1	2086300
P09525	5003.7	6637.9	2407	3067.6	2630	5687.4	4173.3	6394	0	278950
P09622	592.73	1051.7	1432	986.93	2115.8	1868	1399.9	6370.1	0	152590
P09651;Q32P51	11946	15462	15686	12838	16630	15210	12816	28806	567.42	954800
P09661	0	0	0	0	0	0	0	0	0	0
P09874	0	0	0	0	0	0	0	0	0	0
P09972	0	449.22	315.51	637.11	297.99	954.98	1133.4	1751.6	0	32439
Q71UI9;P0C0S5	1998.9	3930.6	2236.4	2007.5	3228	2950.9	3086.3	7587.7	347.26	272460
P62987;P62979;P0CG47;P0CG48	10671	13552	9989.9	9409.6	11207	12812	16365	42949	1140.2	1386800
P0DN76;Q01081;Q8WU68	7450.7	4116.8	3863.7	3148.4	3918.9	6558.8	2677.4	7322.4	0	241530
P0DP25;P0DP24;P0DP23;P27482	8697.9	9930.9	6772	8405.3	6538.2	8314	16415	39415	1317.5	1617900
P10321;P30462;Q29865;Q29963;P30480;P30499;P30460;P18463;P30508;P30505;P30504;Q29960;P30512;Q07000;P10316;P10314;P01891;P30459;P30453;P16189;P30510;Q9TNN7;P13747;P16188;P30493;Q31610;P01889;P30475;P30486;Q29718;Q29836;P01893;P30492;Q95365;P16190;P30479;P30466;Q29940;P01892	714.32	1115.8	1205.7	740.21	1255.8	1446	3070.9	2979.2	316.75	103630
P10412;P16403;P16402;Q02539;P22492	12216	30831	19284	18418	20087	22848	12660	25355	0	858530
P10515	3151.3	4008.8	3642.3	3483.4	4303.8	4964.9	4481.1	5326.9	0	204940
P10599	1752.3	3449.7	3143.8	1828.1	4715.8	5608.8	1947	2701.2	0	125720
P10606	577.82	1815.4	1301.7	1240.1	1392.6	1687.8	1377.8	3123.9	0	113140
P10644	994.62	1124.5	855.89	0	474.16	1242.1	1852.3	3354.1	0	82690
P10768	2855.3	2631.6	3106.1	3106.6	2372.5	1747	2318.6	5439.1	310.77	166940
P10809	29008	47655	35691	29925	29880	40581	42577	74451	1393.7	2845400
P11021	28024	44230	41328	33526	33897	38248	47372	82800	3702.7	3096700
P11047	0	0	0	0	0	0	0	0	0	0
P11142;P54652;P34931;P0DMV9;P0DMV8	80887	131910	87931	78984	53447	82862	65717	140720	3185.2	4884600
P11166	638.62	1130.3	1435.1	3514.6	3229.5	6938.4	1387.5	1655.8	0	59057
P11177	2125.2	3676.4	2750.6	2246.4	3055.8	2275	4732.7	5012.8	0	196040
P11234	465.8	707.87	585.6	0	1487.6	439.11	0	966.36	0	15766
P11279	1610.1	3076.8	1544.2	1226.8	1393	3201.3	2828.8	7236.3	361.02	181660
P11310	355.03	552.48	783.43	768.35	752.17	959.72	1301	1575.4	0	58490
P11413	3348.9	7218.7	6367.6	8258.8	14723	12048	6754.1	7896.3	664.97	251660
P60891;P21108;P11908	0	0	0	0	0	0	0	0	0	0
P11940;Q9H361;Q4VXU2;Q96DU9	9357.6	16236	10811	15839	11398	13466	13412	31155	437.14	970260
P12004	14495	17519	16965	16869	13038	18873	20411	48492	1526.2	1628800
P12081	0	0	0	0	0	0	0	0	0	0
P12235	3791.8	3701.1	1440.5	1624	1382.7	2183.2	2711.5	8608.3	0	318460
P12236	2776.7	2678.1	1699.2	1152.7	3850.3	2109.1	1940.5	4714.8	0	113150
P12268	1310.7	2631.8	2076.7	1736.8	2059.1	2158.9	2741.1	3945.8	0	90142
P12270	1057.4	1766.5	1186.6	1731.9	1157.8	1534.3	1325.7	1081.3	0	26079
P12277	0	598.16	726.67	411.23	1628.7	474.3	362.37	484.33	0	16685
P12429	10925	17420	6814.6	8552.4	10335	9533	10372	19914	337.43	687880
P12814;P35609;Q08043	1982.8	2859.8	2313.1	1690	2709.3	3109	2245.7	5730.5	0	198510
P13637;P50993	0	0	0	0	0	0	0	0	0	0
P13639	55908	85326	52179	42839	44566	58479	43651	88976	349.2	2876500
P13667	8029.8	13638	10668	9602.2	10716	12690	11666	24161	0	826920
P13674	5160.8	8416.4	7791.9	7434.4	6242.9	6519.8	7017.3	17043	0	616060
P13693	0	0	0	0	0	0	0	0	0	0
P13796;Q14651	12033	16412	31362	35933	23228	19793	24327	31007	1374.3	1056500
P13797	443.38	644.38	802.1	389.98	1053.2	1102	711.87	803.92	0	37266
P13804	853.02	1999.7	1058.4	704.7	1997.5	1221.6	1467	3242.9	0	94204
Q5VT79;P13928	2715	3647.7	2149.7	2356.6	3289.7	2863.1	1594.8	2301.5	0	70501
P13929	464.07	1061.7	772.98	1240.8	1546.7	1195.4	717.32	1921.4	0	46348
P13995	0	679.75	0	490.81	601.74	497.24	370.07	849.58	0	18948
P14314	2273.4	3065.1	2180.6	2219	3117.8	3854.3	3648.6	6353	406.86	195830
P14317	0	0	0	0	0	0	0	0	0	0
P14324	0	782.78	342.31	475.39	441.26	618.06	625.72	1793.1	0	60360
P14618;P30613	32329	62573	56514	57688	58244	77479	51619	106000	2408.2	3734300
P14625	34007	86492	39764	79893	368440	150240	121490	127370	3035.5	3574800
P63162;P14678	6382.7	10396	9938.6	7804.7	10475	20720	10001	22193	474.81	882720
P14854	1221.3	1518	1606.3	1564.4	14302	990.18	1989.9	1614.1	0	31397
P14866	3651.1	5521.6	5371	3784.5	10028	5529.2	3219.8	8217.4	0	295450
P14868	1965.7	5686	5147.6	3701.1	6485.2	7426.7	4537.8	7075.5	0	187100
P14923;P35222	507.79	2155.3	1148.7	749.48	1808	23706	1599.9	2155.1	0	97765
P14927	729.23	1332.8	1184.1	790.44	955.19	1156.4	1222.2	1767.6	0	76385
P15121	0	0	0	0	0	0	0	0	0	0
P15153;P63000;P60763	901.98	1489.3	831.53	698.92	702.94	789.19	823.09	1067.6	0	48689
P15170;Q8IYD1	299.5	1557.9	1090.4	1077.3	915.4	1613.4	1015.7	2877.6	0	78944
P15311	5009.3	8326.5	3689.9	4435.4	8128.4	3872	2698.3	3037.2	0	96016
P15531	480.56	855.66	603.31	346.49	662.04	763.08	0	3223.5	0	88144
P15586	0	0	0	0	0	0	0	0	0	0
P15880	11561	20346	16043	12490	29961	21433	20328	34470	516.53	1263800
P15924	0	0	0	0	0	0	0	0	0	0
P15954	957.95	1812.4	733.28	1184.8	1103.9	931.1	1644.5	1837.4	0	69558
P16219	334.07	300.99	0	0	332.18	331.29	693.17	475.47	0	17186
P16401	3526.4	6193.9	4104.6	4080.7	4315.9	6335.6	3766.2	7782.2	0	248090
P16435	0	717.28	654.06	822.69	1086.8	790.47	994.63	1030.4	0	42239
