Protein IDs	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B
A6NHQ2	1050.3	494.14	561.89	452.18	1343.7	501.69	1027.2	1342.4	0	55839
P62308;A8MWD9	2190.8	1862.3	9616.3	3213.3	3066.6	3033	2571.1	3622	303.57	90809
Q99613;B5ME19	1954	1243.5	2545.1	3754.5	4397.7	3297.9	3224.2	5410.4	0	125900
C9JRZ8	1804.7	515.75	3138.1	1136.9	894.87	376.02	0	1342	0	35117
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;P39748;P0C0L5;P0C0L4	26117	19645	21158	18786	29144	26183	28298	17054	0	526430
CON__ENSEMBL:ENSBTAP00000016046;P23142	0	0	271.51	0	923.88	483.81	0	1379.8	0	34743
CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742	49331	39232	44480	39061	55132	34772	45117	84544	1640.8	2753000
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__Q61726;CON__P78386;A6NCN2;P78386	0	0	0	0	0	0	0	0	0	0
CON__P00761;Q9BYE2	404130	408810	421770	420350	438010	423660	393660	38308	7471.1	822220
CON__P01966;P69905	581.9	320.71	913.7	449.21	497.74	509.82	0	693.14	0	17044
CON__P02533;P02533;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2;Q04695	0	0	0	0	0	0	0	0	0	0
CON__P02584	7668.6	954.36	6855	6023.4	4740.8	3878.8	3990.4	8799.9	525.3	346050
CON__P02768-1;P02768;Q92985	4815.5	2904.3	3534.9	3149.2	4952.2	4615.6	2500	702.55	0	22535
CON__P02769	165820	136370	357000	364070	347240	288300	46620	57104	1113	1424500
CON__P04258	4564.9	2016	5628.7	4571.9	4040.4	3804.4	2754.8	3990.8	0	100240
CON__P06868	356.18	0	515.12	319.37	903.98	581.92	0	0	0	5974.1
CON__P07477;P07477	1509	2191.1	3360	2338.3	4174.3	2664.3	5148	8221.1	424.59	288900
CON__P12763;P02765	16592	14288	38116	39718	42896	37095	9447.5	6523.4	0	193190
P13645;CON__P13645;CON__P02535-1;CON__P08730-1;Q7Z3Y7;Q2M2I5;CON__Q2M2I5;CON__Q7Z3Y7;CON__Q7Z3Y8;CON__Q148H6;CON__P05784;Q7Z3Y8;CON__Q7Z3Z0;CON__O76015;P05783;O76013;CON__O76013;CON__Q9Z2K1;CON__O76014;CON__Q3ZAW8;O76015;Q7Z3Z0;O76014;CON__A2AB72	788.94	756.05	1046.7	532.18	534.27	765.05	708.08	539.15	0	13990
CON__P13647;P13647	0	0	0	0	0	0	0	0	0	0
CON__P15497	0	300.99	918.88	924.54	615.08	592.12	571.45	551.59	0	22926
CON__P15636	5716.5	3031	5384.5	5475.3	7286.9	4919.7	10164	27118	502.82	988390
CON__P34955	23951	23821	50822	52320	52177	41830	9636.1	18196	776.77	445530
CON__P35908	0	0	0	0	0	0	0	0	0	0
CON__P35908v2;P35908	3425.4	2065.9	2360.4	2586.9	2926.2	2013.7	2113.6	856.66	0	35294
CON__P62894;P99999	695.78	0	1287.5	983.87	1185.6	1261.2	775.99	2038.5	0	60486
CON__Q29443;CON__Q0IIK2	1894.1	2111.2	4709.3	5220.1	3850	2432.7	1445.3	1786.8	0	45807
CON__Q14525;CON__Q9UE12;CON__Q15323;Q14525;Q15323;CON__Q6NTB9;CON__O76009;CON__Q497I4;O76009;CON__Q9D646;CON__A2A5Y0;CON__Q92764;CON__Q14532;CON__REFSEQ:XP_986630;Q14532;Q92764	0	0	0	0	0	0	0	0	0	0
CON__Q3SX09;P68871;P02042	2566.3	1587.5	4274.7	3093.3	3239.4	2618.8	3405.6	4218.5	0	135970
CON__Q3SX14;P06396	8414.6	3531.1	9448.9	8948.2	11837	9154.2	8465.3	10819	0	428900
CON__Q3SZV7	511.71	0	1021.4	497.42	780.82	366.86	318.93	1130.5	0	44600
CON__Q3ZBD7	5478.4	1693.9	6294.2	7320.8	7066.4	4573.1	6161.4	13820	0	456050
CON__Q3ZBS7	546.2	0	0	344.66	455.3	292.52	330.19	553.88	0	28769
CON__Q5D862;Q5D862	0	0	0	0	0	0	0	0	0	0
CON__Q86YZ3;Q86YZ3	1476.5	2308.9	2280.6	3682.2	5939.3	5106.7	4715.8	0	0	820.35
E9PAV3;Q13765;Q9BZK3	4501.4	484.7	4116	5169.5	5061.8	3742.7	4406.9	12147	344.67	338190
G2XKQ0;P63165	0	0	502.47	557.16	551.74	361.96	362.41	1578.6	0	39921
O00148	2529.4	1917.9	3911.5	2948.5	7224.2	2675.2	2534.7	3567	0	112040
O00151	654.49	309.53	482.16	387.84	1142.1	1048.8	1172.7	1563.4	0	57919
O00159;Q9UBC5	536.03	0	1052.8	663	878.81	822.18	911.53	2370.6	0	87214
O00231	4540.9	4326	6301.4	5640.5	7232.9	3844.3	3390.8	4734.7	0	140680
O00232	476.75	724.59	1005.7	883.62	2178.2	620.36	1056	192	0	4395.5
O00264	1426.7	650.2	1385.7	1491.2	1928.7	1086.6	1614	3581.7	0	112350
O00299	7856.8	3627.5	7344.7	9667.7	8166	7586.4	6845.8	10818	0	366440
O00303	1897.6	1445.3	3119	2525.1	6961.8	5844.7	2956.6	4757.4	0	143920
O00330	0	0	0	0	0	0	0	0	0	0
O00410	0	0	0	0	0	0	0	0	0	0
O00425	0	0	0	0	0	0	0	0	0	0
O00469	824.25	506.46	961.12	860.52	1822.7	1031.4	1237.6	867.34	0	37961
O00483	2395.1	396.59	2506.6	2312.7	2244.9	533.35	2208	6796.1	0	217260
O00487	475.81	324.19	2437.1	1057.8	1690.7	557.77	454.98	754.46	0	32096
O00499	0	0	0	0	0	0	0	0	0	0
O00534	0	0	0	0	0	0	0	0	0	0
O00567	0	0	0	0	0	0	0	0	0	0
O00571;O15523	11319	4034.6	11041	11662	14105	10065	8789.3	13012	0	493740
O00629;O00505	787.95	951.99	1437.8	1292	1440.6	1137.7	2028.1	1789.6	0	89219
O14497	5604.4	1223.4	2920.7	3372.9	3610.8	1905.3	3192	5777.5	0	230140
P47813;O14602	2583.6	741.45	2471.1	1286.9	2292.6	1614.9	1634.3	5501	0	130140
O14737	0	0	0	0	0	0	0	0	0	0
O14745	775.21	373.65	0	318.71	609.03	367.72	660.8	1278.5	0	46610
O14776	431.73	2207.2	546.03	1468.3	1850.1	615.67	544.03	949.14	0	33318
O14818;Q8TAA3	4614.8	7095	5505.8	8529.6	8940.3	5289.4	5203.9	7883.6	0	307550
P19105;O14950;P24844	7445.1	498.79	4411.8	4008.7	11778	8526.9	6654.5	11953	0	378260
O14979	0	0	0	0	0	0	0	0	0	0
O14980	421.52	0	767.29	342.18	623.87	539.36	276	0	0	6676.2
O15031	785.05	415.31	272.3	1178.3	728.04	544.95	1171.6	1510	0	58377
O15143	5378.7	2693.6	6537.6	7387.1	9470.6	6930.2	6346	8706.9	0	252080
O15144	8245.8	10138	10307	10311	39362	11252	9445.7	15771	0	521260
O15145	1849.2	2280.3	4729.1	1854.5	4160.3	3106.8	1338.5	3608.9	0	114400
O15212	1047.1	552.46	908.78	690.09	1134.6	721.92	949.76	2366.1	0	61643
O15258	956.57	4230.3	1089.1	1280.5	3383.2	941.39	1590.9	2971.5	0	66740
O15371	3104.5	1499.2	3024.5	2914.5	10430	2347.7	3077.6	5184.7	0	161060
O15372	1535.7	0	1555.2	1661.5	2252.6	1145.1	1490.7	3023	0	109490
O15400	439.68	0	301.52	0	0	0	0	585.23	0	19795
O15460	1543.3	328.58	697.43	952.34	2002.8	1573.2	1781.4	3800.8	0	136790
O15511	995.04	643.33	1396.2	1050.7	1445.6	588.73	1139.6	3201.1	0	95763
O43143	2867.4	8185.6	3042.4	11545	312630	5198.1	4247.3	4342.5	0	120730
O43175	4351.4	7244.5	4603	7797.5	5939.7	3727.2	3705.8	7511.6	330.88	249270
O43242	0	0	0	0	0	0	0	0	0	0
O43390	634.76	526.93	1355	1864.7	1736.7	1533.8	5020.4	2429.8	0	58940
O43396	1505.9	1313.1	1835.8	2726.8	3678.6	1657.4	2247.2	5224.2	0	175150
O43399	2366.2	0	1863.4	1410.6	2688.7	1608.6	2925.8	3461.1	0	146170
O43402	0	0	0	0	0	0	0	0	0	0
O43491;Q9Y2J2	654.68	601.45	559.92	940.95	1205.3	872.28	556.83	915.24	0	42257
O43615	880.87	2191.8	2089.6	1779.7	2017.5	1170.6	1216.5	320.92	0	25113
O43681	1015.7	0	1103.1	749.72	624.59	1418	1074.9	1352.6	0	60587
O43684	0	0	0	0	0	0	0	0	0	0
O43707;Q9H254	35538	14886	32334	46319	49825	50617	36922	69913	3328.8	2188000
O43747	2101.6	1237	4060.9	1171.4	2384.8	1372.3	1085.9	500.36	0	8386.7
O43776	651.13	0	370.93	501.95	1327.1	847.5	1121.5	2038.1	0	50264
O43837	821.65	628.68	900.7	1047	1169.3	666.26	742.94	1380.3	0	48239
O43852	6526.8	838.52	4321.7	4564.5	5868.4	5008.3	6862.1	11443	0	391070
O60216	765.5	0	723.59	309.17	975.01	363.62	679.15	1393.2	0	47774
O60220	0	0	0	0	0	0	0	0	0	0
O60493;Q9UMY4	1433.2	362.03	1273.6	1154.7	1751.9	1384.4	1530.1	2880.2	0	106860
O60506	10749	5519.2	10909	8483.8	11986	8359.4	11114	19868	0	601920
O60568	637.81	0	410.78	814.07	658.66	464.03	820.34	1389.2	0	42191
O60613	602.57	1154.3	1627.3	1153	1551.3	1337.3	988.54	1042.8	0	30380
Q9HAW9;Q9HAW8;Q9HAW7;O60656;P19224;P22309;P35504;P35503;P22310	965.31	652.7	989.44	936.59	639.64	987.68	848.28	2330.1	0	69175
O60716	4141.9	2653.8	5218.5	4793.7	8837.8	4019.1	3886.6	4950.3	0	194250
O60749;Q13596	775.35	748.77	446.79	1001.2	778.55	850.16	1040.5	1023.3	367.36	32568
O60763	0	0	0	0	0	0	0	0	0	0
Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;O60814;P57053;Q16778;P33778;P23527;P06899;Q6DRA6;Q6DN03	7257.4	3166.7	12902	5437	7948.5	6568.6	2283.2	1579	0	81362
O60831	922.67	1200.1	1096.8	1420.1	2119.9	1056.6	1357.8	1528.4	0	75671
O75083	7673.5	1363	6557.4	6953.9	5995.7	4920.8	5097.4	10696	0	387390
O75131;Q96FN4;Q8IYJ1;Q96A23;O95741;Q86YQ8;Q9HCH3;Q9UBL6	2001.4	2731	2746.2	2397	7501.9	2778.5	3005.3	2828	0	86612
O75340	2690.9	1285.8	2951.6	3261.1	4289.9	3092.2	2158.3	4715.3	0	114820
O75347	497.66	0	393.7	0	630.04	0	618.39	865.72	0	27639
O75348;O95670	581.36	0	970.84	1155.7	833.19	1475.6	988.55	2566	0	73285
O75367	1445.5	348.98	1785.6	1283.2	1631.5	1069.5	1135.3	2804.8	0	66573
O75368	4338.1	906.65	2903.2	2519.4	2482.9	1793.8	2505.1	3469.8	0	138110
O75369	19610	8671.9	24762	18945	27291	20459	20397	35181	282.65	1003800
O75390	6563.5	1805.6	5828.2	6386.8	6903.5	6064.7	8589	28877	593.09	739300
O75396	1717.2	496.6	1336.4	1032.3	1990.2	1277.5	1719.7	3932.1	0	124330
O75400;Q6NWY9	1017.1	470.57	825.61	582.63	1055.2	1309.9	1860.6	2235	0	98110
O75439	1322.1	2031	2386.4	2970.2	3121.5	1515.1	936.85	1655.9	0	42086
O75475	1716.4	1142.3	2279.2	1964.9	3387.1	2785.9	2633.8	5026.3	0	141980
O94905;O75477	1072.7	429.56	900.05	953.59	1510.4	1178.9	1088.9	1872.6	0	54136
O75489	0	0	0	0	0	0	0	0	0	0
O75531	6534.4	735.92	5583.5	5114	6441.5	5085.6	5379.7	13336	455.56	408510
O75533	846.4	647.75	1126.2	866.41	2116.8	1312	1251.5	1827.4	0	49297
O75534	2019.1	1959.2	2491.9	3000.7	3825.6	1678	1824.7	2043	0	80622
O75643	515.58	345.03	914.12	809.55	1079.9	418.13	1019.1	2558.7	0	70470
O75746;Q9UJS0	7701.9	5255.7	9129.3	6285.8	8299.7	7411	6638.5	10486	0	343100
P54855;O75795	0	0	0	0	0	0	0	0	0	0
O75821	2081.7	1165.2	2162.9	1893.4	5397	3093.6	2219.2	4500.7	0	134920
O75822	742.29	285.07	317.8	1155.4	1367.9	932.32	990.13	2648.6	0	105900
O75874	14393	6479.5	15138	10346	14996	10619	11321	12842	0	369990
Q13177;Q13153;O75914	626.28	0	593.5	654.79	1141.7	376.51	689.5	1183.5	0	46410
O75915	0	0	0	0	0	0	0	0	0	0
O75937	5628.9	1499.8	4405.1	4592.1	10958	3353.8	2371.6	4680.8	0	152040
O75947	1656.7	938.37	1592.1	1996.1	2300.8	2162.6	1453.3	1233.1	0	55934
O76003	484.84	0	0	0	0	399.34	0	387.45	0	7583.8
O76094	0	0	0	0	0	0	0	0	0	0
O94826	343.41	0	389.95	952.81	748.55	330.76	631.5	994.14	0	34186
O94925	418.88	334.89	689.87	534.44	803.4	801.88	526.74	673.72	0	27123
O94973;O95782	1413.3	1363.7	2513.3	2149.4	3095.7	1516.7	1987	1206.7	0	75165
O94979	643.78	0	449.14	276.74	853.28	660.84	357.39	775.95	0	20881
O95182	0	0	0	0	0	0	0	0	0	0
O95232	0	0	0	0	0	0	0	0	0	0
O95292	0	0	0	0	0	0	0	0	0	0
O95302	0	0	0	0	0	0	0	0	0	0
O95399	0	0	0	0	0	0	0	0	0	0
O95433	0	0	0	0	0	0	0	0	0	0
O95777	606.72	513.75	627.61	563.17	1174.2	675.58	622.44	709.61	0	19356
O95831	1636.1	1020.4	2180.1	1789.6	3283	2584.4	1802.3	1295.3	0	54460
O95837;P50148;P29992	1094.1	1666	1769.4	1633.6	2859	2400.4	3309.2	1875.3	0	55714
O95881	0	0	0	0	0	0	343.41	779.79	0	28082
O96000	0	0	0	0	0	0	0	0	0	0
P00167	2081.2	2035.6	4024.5	4323.7	3144.8	1137.9	3873.2	7232	0	225990
P00338;P07195;Q6ZMR3;P07864;Q9BYZ2	16110	4333.1	23297	30698	17013	14234	19637	32485	0	1429000
P00367;P49448	3925.3	1182.6	5291	5211.8	5827.1	2477.4	3821.6	9516	0	291380
P00387	1672.8	557.36	1674	1259.1	2073.9	1183.2	3068	6084.8	310.2	137420
P00395	0	0	0	0	0	0	0	0	0	0
P00441	0	0	0	0	0	0	0	0	0	0
P00492	832.63	639.13	1024.5	862.82	1065.2	662.62	1487.2	1256	0	34456
P00505	18849	15052	20388	25053	31415	16079	21792	31197	1162.9	1060200
P00558;P07205	33929	10406	41065	45743	25595	23510	38791	53187	2671.7	2057000
P01116;P01112;P01111	0	0	0	0	0	0	0	0	0	0
P01130	0	0	0	0	0	0	0	0	0	0
P0DOX7;P01834	0	0	0	0	0	0	0	0	0	0
P01876	0	0	0	0	0	0	0	0	0	0
P02452;CON__Q862S4;P02458	26862	16101	17200	20235	22622	17328	23558	38057	0	1240400
P02461	0	0	297.67	585.01	902.4	0	626.85	1287	0	36218
P02462;P29400	652.34	791.81	841.17	642.77	1809.1	554.47	502.24	1328.7	0	23525
P02545;REV__Q5VX52	60660	25669	98545	86375	82047	66100	67755	119390	1926.5	4208800
P02647	0	0	0	0	0	0	0	0	0	0
P02751	32581	14662	26173	27416	65729	26927	61165	151360	3151.5	4901300
P02786	0	0	0	0	0	0	0	0	0	0
P04040	964.5	1835.6	2748.5	3096.6	2847.1	1585.6	1507.8	3551	450.02	69366
P04075;P05062	25648	8921.3	36094	33315	30059	22209	27628	55827	1086.1	1994700
P04083	14325	3664.9	11457	10804	14646	12443	14345	26255	359.77	858250
P04179	857.68	483.29	966.48	916.88	1760.7	942.37	1991.6	2225.1	0	105410
P04181	1806.8	393.71	2021.7	1941.8	3319.7	1550	1798	3519.1	0	105030
P04264;CON__P04264;CON__H-INV:HIT000016045	42279	35855	40381	41123	50666	51705	46168	9216.7	791.57	215310
P04406	44827	8535	33703	37720	38927	27046	14972	22022	914.57	1026000
P04632	1367.6	311.19	479.2	868.25	1069.6	1020.1	843.25	1701.6	0	63522
P04839;Q9Y5S8	1971.1	1334	4954.8	3413.8	3819.4	2752.4	2784.4	4327.6	0	162770
P04843	13486	5271.3	13615	15006	18646	11657	10142	16704	0	532060
P04844	3092.7	3206.6	4085.4	10859	5133.1	3543.7	3471.9	4764.5	0	184060
P04899;P63096;P08754;P09471	9042.4	16676	41742	13313	24886	13308	16771	17128	665.15	515630
P05023;Q13733;P20648;P54707	11457	7694.4	15402	17570	26024	14710	15662	23945	874.15	763890
P05067	449.22	567.03	996.08	964.14	1048.4	1131.5	388.5	502.37	0	5813.7
P05091;O94788;P47895;P30837	16054	36014	12640	35412	17659	10824	14888	34076	1175.6	1024000
P05141;Q9H0C2	46270	10807	45952	50302	36135	32975	48477	95679	1913.5	3926900
P05198	5001.9	2648.6	6002.9	5006.1	8203.1	5092.8	7260.8	13452	0	394110
P05387	4363.3	1142.9	4764.7	3452.8	6211.6	3830.9	4136.6	8765.5	0	235820
P05388;Q8NHW5	20793	6289.9	20741	20111	22254	13028	18922	36380	0	1514100
P05455	4444.4	3077.4	4539.6	5719.6	6514.1	4535	5132.5	7040.9	752.9	269150
P05556	1150.9	2314.2	2772.2	2603.2	5485.2	5121.6	5511.1	4125.5	442.41	140690
P06454	4527.4	1937.1	3953.6	3511.4	10331	8977.9	7505.9	6948.8	0	190270
P06576	27327	12246	28493	26291	36569	30850	36498	69218	531.14	2258700
P06702	0	0	0	0	0	0	0	0	0	0
P06703	7249.1	3189.2	6504.2	6558.2	11851	11926	5718.7	8538.6	737.28	370450
P06730	3765.9	1368.3	4888.1	5002.7	6744.6	4796.7	5034.4	6750	510.05	256330
P06733	27661	13114	51341	55290	43831	35034	42792	70243	1632.6	2885900
P06748	16091	5361.7	14345	12027	17210	10365	20932	41795	2207.9	1812100
P06753	9239.4	6306.9	13934	12061	13955	12884	7459.4	7038	330.25	246920
P06858	1377.7	322.28	2035	2617.3	2301.2	1874.4	1521.4	2655.6	0	104660
P06865	4263.3	1327.4	2848.8	1726.2	3354	1627.3	2771	4856.5	0	165400
P07237	55103	21410	51671	46752	68946	57391	73820	128970	2519.3	4472000
P07305	1194.3	310.31	931.47	352.64	1754.1	2623.2	862.14	1306	0	32834
P07355;A6NMY6	30755	9563.4	34988	34953	42537	34550	27880	55627	675.34	1757200
P07437;Q9BVA1;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	97724	34282	61892	63158	85195	82332	59440	86847	2239.5	2808600
P07602	2383.1	910.85	1967.8	1472.2	1714.8	1692.6	2508.6	6097.4	0	205260
P07737	3521.4	1355.3	5104.3	4557.2	4939	3221	3273.8	9576.7	260.84	279270
P07741	4245.6	11456	6102.4	6423.8	2948.8	2780.3	2586.1	5519.4	0	173420
P07814	5941.5	2593	5653.4	6090.8	10051	4390.8	5535.8	9695	0	369120
P07900;Q14568;Q58FG0;Q58FG1	36867	13408	54210	34631	41864	27341	17760	36369	578.28	1082400
P07910;P0DMR1;O60812;B7ZW38;B2RXH8	291.15	445.53	1093.2	537.46	1574.3	1175.8	1867.3	4057.5	0	141600
P07954	310.01	1825.4	916.1	1019.2	2368.5	1162.4	1038.9	1054.1	0	30908
P07996;P35442	25266	9122	17888	19740	23276	15193	18410	35347	0	1247200
P08133	17564	3558.8	11410	11068	16303	12753	13378	18042	383.68	675640
P08134;P61586;P62745	4742.6	1511.1	4969.5	4815.4	5137.6	3450.2	3618.6	6847.5	0	249160
P08238;Q58FF7;Q92538	115920	36139	74138	76588	162600	56828	60737	128880	3401.5	4163700
P08559	3575.8	4913.1	7620.3	17771	8635.3	5016.3	5062.4	9031	0	293470
P08574	463.06	611.23	1504.1	950.76	1048.3	470.17	571.42	1416.3	0	32252
P08579	6151.5	2606.8	5172.7	5174.4	7784.7	5212.9	9110.6	17085	420.21	667510
P08621	986.39	618.24	887.85	871.45	2113.2	1384.5	536.84	2187.3	0	86531
P08670;P17661;P14136;P41219;Q16352;P07196;P07197	325960	53275	169090	163160	129320	164140	104520	195020	4740.9	6832400
P08708	5133.8	7170.5	7474.4	6521.4	8325.3	5430.3	6134.3	11217	0	343970
P08758	24302	9815	31593	33734	19639	19151	26556	42069	526.26	1857300
P08865;REV__Q2TAZ0	27736	12658	26095	26841	32475	21136	29423	44906	819.44	1949500
P09104	2347.9	857.1	3374.5	4107.9	2767.8	1687.7	4091.2	7013.8	307.4	190560
P09110	1059.6	1083	2811.1	1383.2	1371.3	844.8	1146	1090.7	0	32889
P09234	1092.5	494.1	836.33	576.86	1799.5	872.24	1452	849.46	0	53880
P09382	7417.5	2847.5	5021.8	6303.7	9604.7	6509	8154.5	15856	1171	525500
P09417	0	0	0	0	0	0	0	0	0	0
P09429;P26583;B2RPK0;P23497	1675.7	6332.8	3186.7	3596	5084.7	3981.7	3128.4	6927	0	170130
P09486	3439.9	2127.3	2706.2	3787.5	5300.2	3170.7	3065.5	6441.1	0	155780
P09493	52759	33896	44992	33261	66234	32315	48273	108450	4019.3	3564200
P09525	3677.2	1136.7	2095.3	2972.4	3218.7	2638.6	2860.8	3868.8	0	175070
P09622	2677.2	1164.2	4458.8	2625.7	4618.7	2571.9	4274.2	10345	0	305780
P09651;Q32P51	17355	10731	18739	14815	28754	19307	15553	38708	268.26	1235400
P09661	2051.3	870.24	2275.4	2609.6	2227.3	1690.2	2244.8	4002.1	0	119990
P09874	0	0	449.63	289.68	0	279.73	958.8	1373.7	0	45913
P09972	874.06	562.67	2236.4	819.03	2329.5	1018.9	391.11	2112.9	0	63802
Q71UI9;P0C0S5	2354.8	915.87	4302.3	2779	5848.3	4058.6	4898.7	9351.1	0	384060
P62987;P62979;P0CG47;P0CG48	11496	2671.4	9071.9	8023.6	11283	8382.4	16288	43398	1196.2	1276500
P0DN76;Q01081;Q8WU68	3532	1614.4	4036.6	3527.8	5401	3565.3	5462.9	9596.8	316.34	303740
P0DP25;P0DP24;P0DP23;P27482	24920	5648.1	22330	29234	27755	28852	19740	30564	1392.2	1091300
P10321;P30462;Q29865;Q29963;P30480;P30499;P30460;P18463;P30508;P30505;P30504;Q29960;P30512;Q07000;P10316;P10314;P01891;P30459;P30453;P16189;P30510;Q9TNN7;P13747;P16188;P30493;Q31610;P01889;P30475;P30486;Q29718;Q29836;P01893;P30492;Q95365;P16190;P30479;P30466;Q29940;P01892	1626.1	1178.1	2743	2979.6	4232.3	3533.6	5455.8	5961	505.35	223430
P10412;P16403;P16402;Q02539;P22492	29132	17455	29783	20070	38994	34110	17492	35395	0	1271500
P10515	0	0	0	0	0	0	0	0	0	0
P10599	3740.5	827.92	3929.1	3826.8	3420	2909.6	2382.3	3622.6	0	141480
P10606	1686.7	344.23	2474.2	2103.3	1754.4	1730.3	1426.5	3531.3	0	128910
P10644	306.83	0	355.22	0	0	0	538.86	438.88	0	29423
