Protein IDs	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B
P10768	2596.7	474.38	4013.2	4148.5	2369.3	1559.6	1762.1	3673.6	0	134810
P10809	44641	16768	38759	32550	46922	38108	45953	76044	2342	2699100
P11021	41914	16923	39375	36530	41512	29448	48713	94686	1513.6	3005100
P11047	475.85	0	0	0	925.27	898.95	476.64	624.59	0	32863
P11142;P54652;P34931;P0DMV9;P0DMV8	137550	45527	112560	121970	134500	82802	81516	168550	5188.5	5997800
P11166	405.22	677.64	1051.8	2796.1	2882.1	4592.8	805.75	1445.7	0	31976
P11177	3249.7	2168.8	3606.8	4572	4500.9	3742	6040.1	10165	0	327460
P11234	0	0	0	0	0	0	0	0	0	0
P11279	506.03	0	511.98	0	327.43	453.62	1038.1	3378	0	89569
P11310	352.77	442.54	761.19	507.87	1538.8	973.45	1250.4	1588.9	0	53011
P11413	2627.4	1096.5	3975.9	4694.3	3789.3	4366.5	2658.6	7028	0	151410
P60891;P21108;P11908	455.97	592.02	617.33	568.56	620.4	447.38	0	0	0	10082
P11940;Q9H361;Q4VXU2;Q96DU9	22364	10805	20404	27390	31591	22880	25498	42960	692.99	1575600
P12004	15808	5651.6	18935	19552	25821	18925	22430	49666	908.91	1655400
P12081	0	0	0	0	0	0	0	0	0	0
P12235	3900.1	782.94	1959.7	2535.4	3540.6	2481.1	3987.1	9746.6	0	329230
P12236	988.11	425.58	1312.2	1093.7	3463.7	1479.5	1374.5	1835.5	0	37239
P12268	1148.2	1395.5	1980.3	1266.6	1706.9	1900.9	1425.3	1361.6	0	48317
P12270	2127.5	0	1038.6	1022.3	1835	2360.7	1865.1	4019.1	0	106420
P12277	415.55	409.68	946.58	855.01	1337.7	379.5	434.79	0	0	25069
P12429	12348	10788	6371.1	6978.7	9693.7	6598.8	11357	20083	0	708090
P12814;P35609;Q08043	6656.3	1916.4	5876.2	5901.3	7971.4	5652.9	5942.4	10533	364.27	255250
P13637;P50993	0	0	0	0	526.88	377.8	317.96	450.14	0	14459
P13639	66304	17537	44489	49730	52070	29983	38507	79701	320.48	2463000
P13667	6160	5207.1	4554.4	6542.3	6217.8	3488.9	6779.5	16519	0	547230
P13674	4764.9	2650.7	3882.7	4773.3	7197.7	4182.3	6808.6	14019	844.96	484900
P13693	0	0	0	0	0	0	0	0	0	0
P13796;Q14651	21741	20293	50422	58816	39033	29614	35144	33918	1830.9	1131800
P13797	0	0	0	0	0	0	0	0	0	0
P13804	3296.6	1630	4282.6	3905.1	6065.2	3667.5	7103.6	12954	0	489220
Q5VT79;P13928	0	0	0	0	0	0	0	0	0	0
P13929	4114	2378.1	4312	2829.3	3836.6	3642.5	2366.2	4072.9	0	150000
P13995	0	0	366.67	729.7	519.54	603.91	368.88	626.47	0	28316
P14314	898.31	465.79	1251.2	1153.8	2023.4	1173	1881.8	2687.2	0	82730
P14317	874.98	280.45	652	1252.2	592.94	346.43	1028.7	1197.5	0	62366
P14324	325.25	0	671.03	803.68	295.59	0	574.65	2142.6	0	78365
P14618;P30613	44850	50221	90468	107660	106550	73172	85428	89723	958.46	3351200
P14625	63225	19894	53081	64507	72645	37985	53053	97113	1948.4	3545200
P63162;P14678	8244.2	2531.6	8676.1	5951.1	12405	13754	10609	20317	758.91	862650
P14854	4937.8	5836.2	5462.3	5015.7	17860	4800.9	5058.3	3286.7	0	112780
P14866	8310.7	4792.5	10630	8682.2	18636	18242	9815.9	11526	0	314330
P14868	3306.1	1912.9	3987.1	4610.3	5590	4469.2	4270.1	5941.5	0	164120
P14923;P35222	1379.9	441.21	1072.3	901.77	1713.5	809.26	1564.5	2833.6	0	104360
P14927	2328	4866.3	2400.7	6119.3	6706.2	2634.6	2430.2	3427.1	435.51	95063
P15121	549.74	418.48	998.9	1144.4	1028.8	999.39	863.97	1347.5	0	31469
P15153;P63000;P60763	1830.8	479	1901.6	2422.1	3054.3	1219.8	1122.1	2733.4	0	115230
P15170;Q8IYD1	497.5	0	0	304.04	492.27	736.42	0	1030.1	0	25084
P15311	3141.5	6226.7	3416.7	4746.9	11370	3129.4	3662	4464.5	0	124870
P15531	787.65	319.32	442.41	828.85	1098.3	747.41	0	3548.6	0	122250
