Protein IDs	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A
Q8WVC6	2584.6	1412.2	2860.3	870.48	1022.4	780.17	532.01	896.91	0	27580
Q8WVJ2	815.78	1342.5	866.54	956.71	1137	789.47	1278.2	1055	0	34587
Q92499	1837.1	1330.8	998.7	629.31	1008.9	790.72	1386	2308.4	0	89003
Q92598	991.89	1136.5	1323.1	1735.9	2594.5	4185.6	1388.1	2512.2	261.72	90131
Q92621	344.61	424.24	364.55	0	399.99	659.74	0	556.9	0	18053
Q92688	3864.1	4165.3	3042	3112.9	4826.8	4310.4	4467.6	6467.8	0	200910
Q92734	721.6	712.48	660.5	294.34	0	717.1	697.2	1059.1	0	33290
Q92743	0	0	0	0	0	0	0	0	0	0
Q92841	4799.5	7261	4095	3926.4	8746.8	6571.1	6847.9	9810.8	0	342910
Q92896	1529.8	1803.3	2019.9	1214.8	2834.4	2340.3	2430.4	3993.9	0	157830
Q92900	274.69	612.31	474.1	0	0	0	265.89	366.36	0	9637.6
Q92945	8045	7464.5	7524.3	5149.1	8520.8	8202.8	8860.6	19554	0	578050
Q92973;O14787	3476	5038	3479.5	1999.6	4791.3	3873.9	3880.3	4803.6	0	225890
Q93045	998.51	953.42	682.43	821.84	1242.1	1354.8	743.55	1366.2	0	61910
Q93050	0	0	0	0	0	0	0	0	0	0
Q969H8	889.83	3873.3	1037.1	3011.2	3496.8	852.71	1480.2	2082.3	0	47470
Q969X5	519.65	528.8	528.03	690.59	642.02	295.06	348.78	1361.3	0	31681
Q96A26	12078	4545.6	46216	2934.3	1203	744.13	1127.1	1150.7	0	70570
Q96AE4	2037.6	1368.6	1122.4	936.81	2077.9	1799.1	1418.7	2666.4	0	89280
Q96AE7	0	0	0	0	0	0	0	0	0	0
Q96AG4	10289	8877	4645.1	2760.5	5015.9	5286.4	4353.9	8122.2	0	256630
Q96AY3	461.56	572.98	672.49	602.11	484.4	470	0	324.17	0	20968
Q96B26	0	0	0	0	0	0	0	0	0	0
Q96BM9;Q9NVJ2	0	495.19	414.5	421.84	361.04	0	0	0	0	3294.1
Q96C19	0	427.93	0	0	0	0	0	0	0	7244.3
Q96C86	309.82	360.51	0	0	511.41	388.06	370.7	702.29	0	23743
Q96CS3	0	0	0	0	0	0	0	0	0	0
Q96CW1	867.94	997.28	628.3	430.3	855.91	1181	767.44	1790.2	0	57955
Q96DI7	1042	2309.6	975.11	1125.7	2756.7	1298	1452	3127.5	0	66910
Q96EP5	414.99	1074.4	395.94	4578.6	3379.7	365.43	347.83	1059.4	0	38553
Q96EY1	0	0	0	0	0	0	0	0	0	0
Q96FJ2	2484.8	4665.7	3669	6094.4	12889	5337.4	3476	6403.8	0	204650
Q96FW1	1958.7	2034.8	2600.6	1815.7	3274.5	2666.8	756.52	1056.1	0	23591
Q96HC4	800.76	1377.8	2004.8	263.49	652.13	797.42	999.26	1651.9	0	64648
Q96HE7;Q86YB8	0	0	0	0	0	0	0	0	0	0
Q96I24	1291.6	1691.6	1481	1233.8	1558.5	1037.1	522.38	1560	0	31508
Q96I99	1309	2698.8	1834.6	1373.8	3166.6	920.03	1042.2	2695	0	77524
Q96IX5	1052.5	943.69	660.29	656.49	656.28	843.31	1218.8	2629.6	0	71710
Q96JB3	1608.3	1217.8	644.5	610.43	0	308.3	1132.2	2485.8	0	78966
Q96K17	0	0	0	0	0	0	0	0	0	0
Q96K80	3124.8	4728.3	2825.5	4853.3	4702.2	3812.9	6874.8	13639	470.03	359720
Q96M86	9120.9	27667	11870	20380	35954	12597	7841.3	3511.5	0	80380
Q96P70	735.2	1077.6	958.23	861.17	1122.2	1100.3	823.97	1846.5	0	66279
Q96PK6	1068	3011.2	1387.8	1678.3	16759	1899	2685.6	4299.5	0	134910
Q96PU5	0	0	0	0	0	0	0	0	0	0
Q96QD8	348.16	0	0	0	0	0	0	374.64	0	11791
Q96QK1	2199	2659.3	1588.5	1280.3	1783.3	2136.7	1909.1	3959.9	0	99072
Q96QV6;Q8IUE6;P16104	0	0	0	0	0	0	0	0	0	0
Q96S97	0	0	0	0	0	0	0	0	0	0
Q96TA1	1108	1794.2	526.59	555.7	1048.4	844.95	879.58	1399.3	0	44329
Q99439;Q15417	1738.6	2102.9	401.86	451.97	637.8	1419.5	866.97	3163.8	0	94587
Q99460	720.75	1003.9	1127.7	1229.3	1867.2	1001.9	1166.8	2227.1	0	80962
Q99497	1766.8	4192.7	2324.4	3920.6	3598.7	1661.4	2378.5	4669.5	0	178750
Q99536	2083.7	3094.5	936.03	2099.1	2834.3	1648	2546.4	4483.2	0	180580
Q99623	11725	11975	7276.1	7036.4	11275	10477	7625.9	14793	0	464510
Q99700	0	404.11	0	0	0	0	0	349.67	0	8057.8
Q99715	855.11	414.01	0	345.46	649.57	695.69	607.16	1253.8	0	36188
Q99729	18551	18294	10706	8788.3	13069	12530	7747.6	12991	0	450710
