Protein IDs	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A
A6NHQ2	0	800.43	510.82	328.78	616.95	412.62	876.18	1745	0	56772
P62308;A8MWD9	1554.2	1964.7	12875	2807.5	3438.8	2022.3	1532.9	1959	0	61560
Q99613;B5ME19	2469.8	3046.6	3027.2	2311.3	3852.6	3483.3	2929.1	5947.4	0	132140
C9JRZ8	1569.8	509.24	1611.6	613.79	737.87	353.19	330.81	1724.9	0	28147
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;P39748;P0C0L5;P0C0L4	17158	15361	8346.5	6776.8	9110.2	7205.8	8254.6	12487	0	409000
CON__ENSEMBL:ENSBTAP00000016046;P23142	1661.6	1719.2	4719.5	751.59	3096.9	1406.1	1849.5	4125.1	0	135840
CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742	62387	61165	30060	20831	37335	31820	35826	68540	381.65	2264300
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;O43790;P78385;Q14533;CON__Q61726;CON__P78386;A6NCN2;P78386	1555.1	2365.4	1644.9	3975.2	3896.5	4117.7	6248.7	1569	286.05	27128
CON__P00761;Q9BYE2	366020	308040	320110	311380	306380	312740	272100	22410	5503.3	407500
CON__P01966;P69905	1037.3	1320.9	2465.6	2189.1	1461.6	728.29	360.84	1127.6	0	26326
CON__P02533;P02533;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2;Q04695	0	0	0	0	0	0	0	0	0	0
CON__P02584	5407.4	4981.5	2718	2450.3	2085.9	3328.4	3128.5	5085.5	0	176660
CON__P02768-1;P02768;Q92985	159660	181540	137410	161680	159890	215970	35077	14877	0	281330
CON__P02769	211560	247430	349750	360380	274490	300380	43126	62302	0	1447200
CON__P04258	4688.6	11086	7525.8	4300.3	7121.3	5740.1	3442.9	5532.8	0	270530
CON__P06868	290.67	314.38	253.36	0	561.91	334.73	165.25	0	0	5992
CON__P07477;P07477	1316.2	1524.6	1372.7	618.27	638.12	1769.1	9973.3	20942	0	766740
CON__P12763;P02765	60870	62504	92805	87437	72224	80966	15137	15284	1008.3	480210
P13645;CON__P13645;CON__P02535-1;CON__P08730-1;Q7Z3Y7;Q2M2I5;CON__Q2M2I5;CON__Q7Z3Y7;CON__Q7Z3Y8;CON__Q148H6;CON__P05784;Q7Z3Y8;CON__Q7Z3Z0;CON__O76015;P05783;O76013;CON__O76013;CON__Q9Z2K1;CON__O76014;CON__Q3ZAW8;O76015;Q7Z3Z0;O76014;CON__A2AB72	21382	5857.9	4774.5	5013.9	5377.7	6475.7	4649.4	1441.3	0	61271
CON__P13647;P13647	0	0	0	0	0	0	0	0	0	0
CON__P15497	0	0	0	0	0	0	0	0	0	0
CON__P15636	12380	5798.4	4637.8	2772.1	6921.3	6685.1	18052	43421	0	1451900
CON__P34955	12005	13681	20816	21613	16182	16266	2794.2	4589.7	0	129200
CON__P35908	0	0	0	0	0	0	0	0	0	0
CON__P35908v2;P35908	5678.4	2104.4	1663.4	1387.5	1696.8	1808.1	1192.3	844.79	0	41791
CON__P62894;P99999	1486.5	1871.1	757.55	777.86	2499	1020.6	791.85	2169.3	0	83751
CON__Q29443;CON__Q0IIK2	796.9	1187.2	2211.7	1686	3037.6	1460.7	815.89	953.69	0	18602
CON__Q14525;CON__Q9UE12;CON__Q15323;Q14525;Q15323;CON__Q6NTB9;CON__O76009;CON__Q497I4;O76009;CON__Q9D646;CON__A2A5Y0;CON__Q92764;CON__Q14532;CON__REFSEQ:XP_986630;Q14532;Q92764	2929.8	4231.7	5823.5	7176.9	7758.1	9111.8	15835	1403.4	0	48891
CON__Q3SX09;P68871;P02042	1853.2	704.34	1876.2	1374.3	1955.2	1077.7	1694.3	4854.8	0	119980
CON__Q3SX14;P06396	8563.7	8198.8	5612.1	4160.7	6595.9	5010.5	5962.8	11877	0	384120
CON__Q3SZV7	1916.5	1264.4	739.53	1105.5	1193.8	1591.9	1347.2	3547.9	0	99654
CON__Q3ZBD7	8033.6	9307.6	4468	3564.2	4943.4	5452.3	7525.1	18364	0	484110
CON__Q3ZBS7	1830.1	1828.9	1328.3	433.59	2950.1	888.41	2774.9	3614.9	0	132020
CON__Q5D862;Q5D862	0	0	0	0	0	0	0	0	0	0
CON__Q86YZ3;Q86YZ3	7811.8	3262.6	4416.4	3871	6599.1	6060.5	4859.8	941.41	0	7691.2
E9PAV3;Q13765;Q9BZK3	5150.5	5424.4	3590	3910.5	4521.7	5716	2529.8	10043	283.38	292290
G2XKQ0;P63165	1564.5	1925.3	1734.5	1079.3	1892.9	907.28	2112.6	4017.3	0	123280
O00148	2446.7	2557.4	2334.6	1786.1	4651.9	1912.1	2150.6	3366.8	0	87657
O00151	0	0	0	0	0	0	0	0	0	0
O00159;Q9UBC5	778.73	805.94	462.56	772.6	709.34	643.48	1004.7	1798.3	0	66200
O00231	2325.5	5483	4389.8	6343.9	6150.6	3289.8	2793.3	4264.2	0	119630
O00232	0	0	0	0	0	0	0	0	0	0
O00264	2674.6	3076.6	2542.2	1946.2	2595.1	2717.2	1405.6	1716.3	0	49720
O00299	10076	13392	7078.5	6240.1	7081.6	8148.8	7709.5	13294	0	441650
O00303	2790.1	3080.8	2155.6	1201.4	3910.7	2920.6	1522.5	2188.6	0	119980
O00330	0	0	0	0	0	0	0	0	0	0
O00410	1654.8	1196.6	1963.8	1767.1	1793	1214.5	1683.8	623.02	0	18307
O00425	0	0	0	0	0	0	0	0	0	0
O00469	0	503.04	0	447.51	591.76	426.52	907.54	979.6	0	41184
O00483	2932.1	2664.7	776.15	1476.9	1623.4	1699.7	3508.2	5640.9	0	229180
O00487	0	0	0	0	0	0	0	0	0	0
O00499	0	0	0	0	0	0	0	0	0	0
O00534	0	0	0	0	0	0	0	0	0	0
O00567	2068.7	1924.7	1631.9	1948.7	2065	1940.6	1360.7	2510.5	0	76959
O00571;O15523	8527.6	9743.7	7331.8	6193.7	7275.9	8073.3	8033.1	12108	622.94	486850
O00629;O00505	1486.3	1699.4	410.16	1016.4	2932.2	1468.8	2617.9	3438.9	0	131690
O14497	5712	6645.1	1716.2	2822.7	4250.7	4389.3	6401.2	7179.2	392.62	399780
P47813;O14602	3563.2	6746	12362	1026.1	18503	4045.7	5314.4	11202	428.27	329970
O14737	440.77	798.24	1118.2	865.21	1333.8	825.27	460.87	304.39	0	9192.1
O14745	985.16	752.59	330.03	0	661.02	485.21	1083.8	1598.3	0	59577
O14776	0	0	0	0	0	0	0	0	0	0
O14818;Q8TAA3	3268	6862.5	2916.4	4558.3	4396	3150.5	3735.1	7284.9	0	258100
P19105;O14950;P24844	8228.9	12360	2837.9	3193.6	5762.9	6954.3	7096.7	16026	421.88	466240
O14979	354.12	1224.2	445.9	616.73	2194.9	945.88	1417.3	2256.5	0	59301
O14980	545.88	311.18	887.53	335.95	684.15	1096.8	500.8	1244.3	0	47408
O15031	440.27	455.22	0	311.06	756.27	619.09	448.27	0	0	9362.3
O15143	2428.6	2805.1	1407.1	1937.6	2431.4	1629.4	2785.8	4723.1	595.19	180940
O15144	3391.3	9540.2	3593	6131.3	26636	4690.9	3594.3	5561.7	307.42	214030
O15145	7155.3	8411	2966.2	3446.9	3512.7	3980	4594.6	6945.6	0	249530
O15212	0	460.36	570.65	336.43	592.46	0	303.25	300.81	0	17237
O15258	1424.1	1879.9	1705.5	1752.9	3480.9	1717.2	2841	4610.7	0	104620
O15371	2365.2	3447.6	1565.3	1195.5	2158.1	2523.6	2415	4447.4	0	137780
O15372	1882.3	2789.6	1916.6	2108.1	2437.4	2170.5	2403.3	3878.9	313.8	138030
O15400	0	0	322.15	0	0	400.47	0	474.91	0	16676
O15460	578.41	860.27	0	333.32	565.34	0	1193.9	1330	0	45876
O15511	1125.9	1355.5	1066.2	567.89	942.46	528.35	1093.4	1722.6	0	66664
O43143	2374.4	1635.9	1592.1	1394.4	1199.3	1619.7	1020.2	3104.1	0	108140
O43175	4324	9232.1	2802.7	5013.4	4425	3129.4	2715.9	6509.6	0	222030
O43242	1022.9	1593.1	1540.9	1317.2	1630.6	2034.9	1249.3	1701.5	0	51452
O43390	835.56	1067.9	620.75	407.51	918.79	0	1215.7	2176.7	0	43952
O43396	1416	2730.2	691.63	839.29	2398.3	1460.3	1533.8	4108.7	0	109350
O43399	2393.7	2556.5	1336.6	991.18	1148.9	2032.1	1435.6	2316.4	0	108230
O43402	0	0	0	0	0	0	0	0	0	0
O43491;Q9Y2J2	1777.8	2064.9	1068.3	882.93	4711.1	2026.4	2248.4	3955.3	0	108360
O43615	0	0	0	0	0	0	0	0	0	0
O43681	959.36	530.14	677.53	281.47	961.9	656.82	791.8	1476.6	0	46150
O43684	825.45	794.46	334.5	1956.4	1046.6	1088.9	1210.8	1343.4	0	34278
O43707;Q9H254	34736	45195	30430	30548	42148	45343	41112	79160	817.73	2484000
O43747	1577.1	1401.9	3267.6	720.61	1604.2	1249.1	829.28	0	0	9585.9
O43776	2700.1	19472	6841	11032	27957	5601.6	3152.8	3366.2	0	110750
O43837	655.75	634.55	1646.8	554.92	1418.2	993.49	1131.5	1388.5	0	28595
O43852	4596.4	4232.4	2916.6	1961.7	2828.6	2591	3733.8	8197	354.46	270240
O60216	0	0	0	0	0	0	0	0	0	0
O60220	0	0	0	0	0	0	0	0	0	0
O60493;Q9UMY4	1164.8	1413.1	825.35	877.36	483.55	951.52	1475.2	2402.4	0	88926
O60506	2291.9	3395.9	2746.1	2201.4	3453	2656	2465.1	5790	0	204350
O60568	0	0	0	0	0	0	0	0	0	0
O60613	0	0	0	0	0	0	0	0	0	0
Q9HAW9;Q9HAW8;Q9HAW7;O60656;P19224;P22309;P35504;P35503;P22310	3996.5	2841.6	2023.4	1692	2596.9	1545.2	1558.6	2093.1	0	77832
O60716	0	0	0	332.53	509.45	0	0	407.65	0	15303
O60749;Q13596	0	411.16	0	0	441.32	0	427.03	546.1	0	18348
O60763	426.97	1646.2	992.07	1768.8	1160.9	1067.8	854.31	1646.4	0	51777
Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;O60814;P57053;Q16778;P33778;P23527;P06899;Q6DRA6;Q6DN03	21260	22813	20513	12404	24019	29237	6642.5	4520.1	0	233110
O60831	978.7	2283.8	640.87	528.48	392.42	598.52	432.07	1922.5	0	45524
O75083	5618.3	8105.1	3689.3	2919.5	5185	5142	3677.1	6991.2	0	262310
O75131;Q96FN4;Q8IYJ1;Q96A23;O95741;Q86YQ8;Q9HCH3;Q9UBL6	0	0	0	0	0	0	0	0	0	0
O75340	2539.4	1907.7	2232.5	1478.5	2274.7	1547.5	1376.7	2229.1	0	71138
O75347	0	327.11	0	0	0	402.77	559.36	743.2	0	32045
O75348;O95670	0	0	0	0	0	0	0	0	0	0
O75367	0	0	0	0	0	0	0	0	0	0
O75368	865.97	1260.2	391.48	419.19	945.35	835.07	1044.7	1417.1	0	48462
O75369	15387	19033	15375	10899	19668	18522	18056	36917	661.28	982150
O75390	6889.6	5401.9	3184.1	3654.1	4031.4	6057.2	9120	21935	452.78	631510
O75396	306.41	0	0	0	0	457.73	580.55	1255.8	0	65717
O75400;Q6NWY9	803.46	1267.6	550.33	847.46	388.24	489.75	2269.9	2759.2	0	116900
O75439	0	515.72	0	0	0	303.88	345.66	1351.1	0	35911
O75475	801.75	739.59	937.45	427.86	934.21	871.78	1204.7	2101.6	0	55723
O94905;O75477	0	0	0	0	0	0	0	0	0	0
O75489	2541.9	6523.5	2980.4	3228.3	2755.2	1892.1	1405.6	970.22	0	30087
O75531	1048.5	1078.6	1056.6	538.18	497.34	840.08	2332.8	3635.4	0	141590
O75533	2285.8	3010.4	3743.1	1644.7	4239.7	2928.8	3365.6	2708.4	0	98664
O75534	1022.5	1906	1937.4	1771.9	3202.4	1936	1448.8	2200.9	0	58138
O75643	0	614.88	0	5231.2	351.06	282.26	311.63	1441	0	30034
O75746;Q9UJS0	4394.1	4144.6	3470.7	2140.7	3069.8	2605.4	4188.6	6973.7	0	242440
P54855;O75795	1790.8	2170.3	1711.8	2586.4	1997.5	1758.5	1484.1	847.46	0	40867
O75821	569.19	823.63	1753.5	575.82	2125.9	712.67	330.18	0	0	10276
O75822	797.09	549.59	619.34	365.73	524.15	670.29	855.95	1255.5	0	39756
O75874	4770.7	4561.1	4618.3	3225	5325	3927.7	2739	3015	0	66653
Q13177;Q13153;O75914	582.74	448.1	307.27	318.31	571.68	714.23	488.76	1006.5	0	36256
O75915	3123	3906.1	2716.9	1806.2	5694.2	3458	3259.2	6351	293.09	184140
O75937	0	0	0	0	0	0	0	0	0	0
O75947	0	0	0	0	0	0	0	0	0	0
O76003	0	476.41	0	589.96	455.18	352.75	0	300.66	0	5599.4
O76094	301.54	415.68	761.13	0	721.77	583.72	0	405.14	0	16156
O94826	548.28	383.87	335.58	0	467.52	472.97	607.22	1642.5	0	36151
O94925	0	0	0	0	0	0	0	0	0	0
O94973;O95782	689.16	1405.6	599.92	477.33	1722	942.51	1450.6	1869.2	0	68407
O94979	4277.7	6915	6142.2	3622.5	7295.9	6173.5	3465.2	3758.5	0	109270
O95182	568.32	593.59	470.63	388.79	1197.8	324.85	552.42	816.18	0	32966
O95232	0	0	0	0	0	0	0	0	0	0
O95292	0	0	0	0	0	0	0	0	0	0
O95302	956.9	945.77	799.95	638.52	888.61	409.94	1426.7	1440.8	0	63325
O95399	2788.3	1860.2	920.1	1064.4	1683.7	1357.4	2813.2	4895.5	347.05	179160
O95433	0	0	0	0	0	0	0	0	0	0
O95777	1963.2	2352.4	2165.5	1716	2451.7	1657.4	1508	3174.8	0	75978
O95831	2568	3320	1769.8	1716.9	3097.8	2759.5	2270.9	3129	0	108350
O95837;P50148;P29992	1989.7	1267.3	1512.3	1474.8	1126.5	1434.2	1299.1	1414.4	0	57331
O95881	0	384.08	0	0	463.63	0	377.84	909.97	0	29313
O96000	359.45	1096.6	753.05	312.27	1514.9	606.11	1124.4	1723.1	307.5	45974
P00167	2823.5	4024.1	1912.2	1805.9	2426.7	2629.4	5022.6	8526.8	0	281830
P00338;P07195;Q6ZMR3;P07864;Q9BYZ2	8116.3	12603	4867.6	4441	8086.2	7991.7	9848.4	18499	309.95	656850
P00367;P49448	4620.3	6509.4	4824.2	3585.7	6331.3	4078.7	5895.4	11104	0	413570
P00387	1110.7	1050.9	924.42	573.01	1462	504.71	1945.8	2609.6	0	114190
P00395	1071	850.93	622.19	422.24	865.55	393.8	880.83	2657.9	0	94543
P00441	0	0	0	0	0	0	0	0	0	0
P00492	412.08	452.62	427.72	0	517.63	0	454.26	0	0	14789
P00505	13305	12546	10872	9666.4	12948	10397	13642	27505	1100	868250
P00558;P07205	35971	60764	20600	21722	24899	26572	24154	45259	557.23	1617100
P01116;P01112;P01111	2040.8	1359.4	467.56	476.59	750.08	727.91	1199.5	3365.3	0	80446
P01130	0	0	0	0	0	0	0	0	0	0
P0DOX7;P01834	2110.5	3433.6	2451.1	1582.2	3017.3	3657.7	949.48	1047	0	29496
P01876	384.45	1187.9	845.38	471.92	885.36	1085.3	320.55	546.26	0	13210
P02452;CON__Q862S4;P02458	28587	25396	9155.2	10786	10578	15405	22242	34127	835.07	1231900
P02461	0	488.75	480.66	393.29	382.54	551.46	734.88	751.47	0	32723
P02462;P29400	0	0	0	0	0	0	0	0	0	0
P02545;REV__Q5VX52	104320	96911	68731	62504	90948	85282	79373	124080	4960.8	4349300
P02647	13425	18456	13608	12141	13710	9948.3	2385.1	3401.7	0	71718
P02751	44042	37864	29361	26256	49261	35278	77585	137440	3416.5	4739600
P02786	0	0	0	0	0	0	0	0	0	0
P04040	941.37	1018.7	645.35	995.97	681.02	756.93	561.66	2072.7	0	41930
P04075;P05062	33657	43410	28269	20933	31773	24311	33952	54129	433.64	1789300
P04083	11142	13975	6234.1	5479.1	13150	11376	17481	24275	0	845710
P04179	0	0	0	0	0	0	0	0	0	0
P04181	19849	22751	21172	19667	21490	22433	20313	9449	1480.4	344660
P04264;CON__P04264;CON__H-INV:HIT000016045	41937	18296	16725	14752	21297	20492	18791	770.41	0	11776
P04406	39826	49473	21599	21087	23821	29941	14268	17003	976.85	760000
P04632	1046	1255.3	688.14	0	1096.7	996.66	886.18	1589.9	0	71561
P04839;Q9Y5S8	2306.7	2364.4	7483.4	6232.8	7059.8	4812.4	3668.1	4703	0	117120
P04843	5827.5	6796.4	4721.4	3052.4	4806.3	5187	4654.5	7152.5	0	300670
P04844	319.65	2060.1	717.76	676.63	1633.1	671.9	1093.7	1702.5	0	56404
P04899;P63096;P08754;P09471	8791.1	10712	8146	5927.2	18294	9494	11216	19138	338.24	612870
P05023;Q13733;P20648;P54707	11311	14641	12229	10231	19726	10813	12689	21514	0	691970
P05067	0	0	0	0	0	0	0	0	0	0
P05091;O94788;P47895;P30837	7214.5	29090	5316.2	20156	9599.5	5817.9	9283.4	20339	0	672240
P05141;Q9H0C2	42974	34232	20767	19701	24057	23322	48037	71621	4659.2	2875800
P05198	2525.5	3746.7	1012.4	2676.8	4316.9	3208.6	3559.7	6398.4	0	213380
P05387	4334.5	5256.6	4120.9	3175.7	4309.4	3989.2	5552.3	7768.1	0	250940
P05388;Q8NHW5	22213	23156	17914	14965	22610	17414	23635	40190	372.11	1575600
P05455	2974.5	3771.7	2211.3	2638.6	2842.9	2043.5	2665.2	4830.3	0	214220
P05556	1386.2	1195.6	2006.9	433.46	873.35	1194.7	1433.6	1245.1	0	38841
P06454	11522	15849	8468.9	7501.8	9879.9	7716.1	6319.5	5012.2	0	161610
P06576	15288	16005	12431	8707.3	19213	19274	21020	42207	774.52	1419800
P06702	5779.2	3353.6	3236.4	3875.3	3903.9	5370.5	2170.1	610.87	0	10583
P06703	19419	30798	6931.5	4478.4	12367	16285	13762	20591	356.11	975560
P06730	2417.7	2754.3	2745	1202	5099.5	2888.5	3349.6	5309.8	0	175780
P06733	27957	35382	36221	33106	44144	59208	33197	43169	499.39	1819300
P06748	21698	18524	10409	10366	12222	13429	20216	34869	1795.1	1393600
P06753	11815	12321	11400	8722.2	13346	12052	10899	12680	560.36	423110
P06858	1440.5	739.95	2875.4	1424.5	1808.6	1528.2	2005.9	4164.8	0	124420
P06865	0	0	0	0	0	0	0	0	0	0
P07237	53134	48864	28989	26983	41753	42366	85497	89791	3018.6	3814700
P07305	2833.3	1630.5	1026.6	558.19	2140	2356.1	1631.8	3790.6	0	130700
P07355;A6NMY6	32085	31526	17147	15714	26526	26783	31302	44332	0	1596600
P07437;Q9BVA1;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	75763	86828	36164	37502	60395	78327	45194	71401	1613.6	2160500
P07602	430.77	993.08	525.16	499.21	909.37	436.36	4559.1	7455.9	0	256190
P07737	14176	14910	8366.3	6287.9	11250	10019	10058	23775	1375.8	714940
P07741	1550.5	8830.6	1325.4	1501.5	1417.5	921.3	918.67	1657.5	0	56597
P07814	3909.9	5004.8	3396.2	2873.4	4934.6	4555.1	3993.8	6845.6	0	226100
P07900;Q14568;Q58FG0;Q58FG1	51826	63099	52551	27135	43058	53521	22130	37275	1313.4	1200400
P07910;P0DMR1;O60812;B7ZW38;B2RXH8	7427.6	9114	5838.8	4516	8094.3	7201.4	5629.2	6350.7	0	222400
P07954	1257.7	1472.9	728.06	830.78	2410.9	917.06	501.56	557.94	0	41185
P07996;P35442	12166	11725	4804.3	4771.7	5872.7	6560.6	9877.9	18598	324.34	628230
P08133	20498	24967	7534.3	6579.9	11680	14286	11984	21211	385.4	774050
P08134;P61586;P62745	4423.1	3403.7	2898.4	2139.8	3307.8	2396.8	4196.9	10340	0	277630
P08238;Q58FF7;Q92538	113000	152920	79401	71553	127060	118850	87016	139920	2116.2	4696100
P08559	1666.3	2289.2	798.55	588	856.24	1005.1	1298	2904.8	0	104390
P08574	545.23	650.21	718.46	481.87	857.28	416.86	500.37	825.61	0	25040
P08579	0	0	0	0	0	0	0	0	0	0
P08621	4044.4	4435.5	5134.2	3207.9	4495.1	3479.9	3943.4	7872.4	0	275380
P08670;P17661;P14136;P41219;Q16352;P07196;P07197	179810	232160	70699	54109	85008	95254	99337	166530	3894	5985500
P08708	6032.8	10772	6701.2	7550	8554.7	6963.6	7464.7	17996	0	479830
P08758	27115	26725	15922	16009	21044	17310	25138	48200	1059.9	1709000
P08865;REV__Q2TAZ0	22734	36904	17817	15319	23977	24401	22520	31867	0	1598600
P09104	2844.2	3386.7	10697	2687.2	3026.8	4561.4	5462	8283.2	0	219360
P09110	530.88	908.5	838.03	428.62	541.5	259.83	0	600.51	0	22093
P09234	0	0	0	0	408.6	0	0	346.79	0	14355
P09382	11752	14017	3021.9	2185.6	5130.2	5956.1	14111	21297	802.12	805250
P09417	545.13	1057.6	607.1	294.03	1008	0	290.46	957.1	0	31711
P09429;P26583;B2RPK0;P23497	3008.4	14907	3705.7	5907.2	7265.3	5743.4	4416.8	8385.8	0	219220
P09486	1070.7	2039.1	723.69	1031.9	1498.3	763.26	1699.9	4287	0	133340
P09493	57926	86985	41557	26354	69252	49760	49584	98739	3105.2	3293500
P09525	12054	14758	5565	4821.4	10041	7059.1	8506.1	10071	0	428440
P09622	2686.4	1227.3	1386	630.59	870.07	1440.8	2400.5	6527.9	0	169250
P09651;Q32P51	35345	55336	27677	24461	57431	34753	27080	49418	1437.4	1458300
P09661	0	0	0	0	0	0	0	0	0	0
P09874	0	0	0	0	0	0	0	0	0	0
P09972	309.91	1055.5	1144.5	1323.8	956.16	1126.9	573.16	2642	0	59482
Q71UI9;P0C0S5	3575.9	5384.3	2672.7	2219.2	5398.5	6309.4	5335.8	9029.4	0	366560
P62987;P62979;P0CG47;P0CG48	7620.2	9971.8	5031.6	4288.8	6501.4	7465.2	16368	37526	715.62	1124700
P0DN76;Q01081;Q8WU68	3685.3	4039.5	1709.5	2133.9	2670.1	2731.3	4170.6	8808.6	0	282060
P0DP25;P0DP24;P0DP23;P27482	22412	26198	11158	11325	13853	17304	17574	27684	1165.5	1090800
P10321;P30462;Q29865;Q29963;P30480;P30499;P30460;P18463;P30508;P30505;P30504;Q29960;P30512;Q07000;P10316;P10314;P01891;P30459;P30453;P16189;P30510;Q9TNN7;P13747;P16188;P30493;Q31610;P01889;P30475;P30486;Q29718;Q29836;P01893;P30492;Q95365;P16190;P30479;P30466;Q29940;P01892	1037	612.54	1039	1460.2	1321.3	2174.7	2045.2	3332.8	0	107250
P10412;P16403;P16402;Q02539;P22492	25358	25543	18576	14087	38193	38341	15700	26096	0	928790
P10515	1448.4	1525.2	1130	591.35	889.38	954.15	1114	3083.6	308.63	107810
P10599	14660	9789	12876	6159.9	13544	9926	7780.1	8063.7	0	218650
P10606	989.17	527.66	721.15	303	664.67	501.95	958.77	3231.3	0	88853
P10644	1992.4	2895.3	2032.4	1332.5	2697.2	1532.8	2458.3	5431.8	0	158130
P10768	4415.2	2866	2577.3	2086.2	2448.6	1631.2	2775.6	5954.1	0	174000
P10809	56254	65261	42095	36768	56041	50398	65202	87464	4854.4	3187200
P11021	59034	52578	35617	28193	35774	37920	66798	124670	1100.6	3926000
P11047	299.6	0	273.09	0	0	0	0	0	0	7129.1
P11142;P54652;P34931;P0DMV9;P0DMV8	97624	168430	69527	112440	110480	109760	85224	158390	5102.2	5453200
P11166	0	0	0	0	0	0	0	0	0	0
P11177	1997.6	2425.5	1898.6	1487.4	1699.2	2681	3742	6556.9	293.67	270350
P11234	0	0	0	0	0	0	0	0	0	0
P11279	5240	6482.6	4069.6	2696.1	2530.2	3507.8	4024.9	6819.2	0	180370
P11310	494.79	718.54	850.73	464.64	693.51	608.69	1278.5	1798.7	0	64337
P11413	5111.9	5558.3	4536	6789.6	14645	6636.8	4187.2	7103.8	0	240950
P60891;P21108;P11908	528.14	842.85	860.02	718	454.34	280.28	303.45	0	0	8458.6
P11940;Q9H361;Q4VXU2;Q96DU9	16490	22166	11836	12271	14839	15673	20462	32211	0	1093800
P12004	16765	19466	9077.9	10115	14214	12456	19611	35564	0	1257600
P12081	700.25	1543.4	713.09	781.51	1446	831.83	879.47	1421.1	0	42626
P12235	5408.6	2626.3	2462.4	1759.4	3091	2490.2	2690.6	4307.1	402.69	249970
P12236	1305.1	988.59	283.73	454.77	1493	834.34	771.23	2203.4	0	43095
P12268	3043.2	1581.4	1791.4	1466.7	2073.6	1888.2	1267.4	3623.8	0	104890
P12270	0	0	0	0	0	0	0	0	0	0
P12277	0	473.97	505.48	401.94	468.78	443.85	0	1113.8	0	27301
P12429	9322.5	14828	8038	5394.2	9205.7	7588.8	11161	19735	298.76	718570
P12814;P35609;Q08043	11433	15334	7193.2	7601.9	11029	7013.1	11678	26782	398.07	745850
P13637;P50993	0	0	0	0	0	0	0	0	0	0
P13639	44272	48716	33563	28385	43192	37478	32966	61744	290.21	2009200
P13667	11447	21310	7352.6	12740	12034	7968.5	13950	26519	357.75	888300
P13674	5513.6	6724.9	4707.5	7481.9	8558	5257.7	7114.6	11684	0	414720
P13693	710.43	705.72	539.89	915.41	897.26	1344.2	924.64	989.51	0	30270
P13796;Q14651	11707	11207	19381	18223	11041	9544.9	14286	24257	0	799510
P13797	0	0	0	0	0	0	0	0	0	0
P13804	266.9	0	301.84	0	630.26	0	619.86	1865.5	0	54996
Q5VT79;P13928	2526.1	3324.1	1262.7	309.84	1653.4	1188.9	1249.6	1971.1	0	64229
P13929	777.92	1762.7	1189	2930.8	1475.6	492.42	934.45	1232.8	0	27667
P13995	349.89	448.54	431.64	463.83	437.03	259.46	456.5	433.8	0	17855
P14314	1484.1	2129.5	652.58	1270.6	1867.4	1391.9	1924.1	5324.4	0	153330
P14317	0	0	0	0	0	0	0	0	0	0
P14324	418.14	324.37	418.45	0	0	0	551.98	399.22	0	40073
P14618;P30613	41242	56709	33455	45143	52013	35285	49469	87087	1144.2	3001400
P14625	78740	71977	45240	66700	111930	52396	64068	99985	1063.9	3766600
P63162;P14678	7677.7	6645.8	4886	4071.1	10271	7271.4	7565.7	13750	376.78	583920
P14854	1132.9	1780.5	2662.4	1387.4	5074.3	573.62	1503	1194.6	0	29019
P14866	7388.3	9224.8	6229.5	6288	13132	11495	8282.1	11689	0	309520
P14868	2386.6	2615.1	2338.4	2243.9	3236.2	1867.3	2306.9	4308.6	0	109650
P14923;P35222	1950.3	1503.6	947.83	854.75	2266.7	1682.8	2387.1	3325.4	295.85	116300
P14927	2192.2	2134.9	2352.4	1510.3	3959.2	2258.3	3895.7	2845.6	0	108050
P15121	644.94	584.46	616.45	555.02	1087.1	459.33	991.27	847.61	0	27353
P15153;P63000;P60763	1625.7	3020.2	1758.9	969.16	1837.3	789.37	2717.9	3718	0	133840
P15170;Q8IYD1	0	0	0	0	0	0	0	0	0	0
P15311	2125.7	6422.8	1854.2	2853	5127.3	2498.3	2766.7	2600.4	0	99045
P15531	929.3	1997.4	755.56	522.55	974.79	1664.8	2036.1	4167.4	0	103030
P15586	502.29	691.26	760.75	434.47	847.64	0	756.54	909.03	0	37411
P15880	28773	34355	20774	15307	44731	29493	25596	33448	281.76	1166700
P15924	1391.3	1014.1	1108.7	998.1	1716.7	1358.8	3275.1	7658.5	0	163470
P15954	1499.9	2239.5	1122.2	1110.2	1256.9	1278.2	1686.1	3113.9	0	121460
P16219	0	0	0	0	0	0	0	0	0	0
P16401	7613.5	8200.2	4853.9	4041.9	7679.5	6646.7	4311.2	9505.2	0	291900
P16435	0	0	0	0	0	0	0	0	0	0
